subject,draw,K_per_class,f1_macro
28,1,5,0.630382
28,1,10,0.59395
28,1,20,0.606224
28,2,0,0.734977
28,2,5,0.664525
28,2,10,0.588246
28,2,20,0.665178
28,3,0,0.724308
28,3,5,0.799172
28,3,10,0.846982
28,3,20,0.780654
28,4,0,0.739531
28,4,5,0.778754
28,4,10,0.673865
28,4,20,0.666973
29,0,0,0.806889
29,0,5,0.768806
29,0,10,0.836492
29,0,20,0.773601
29,1,0,0.805156
29,1,5,0.772113
29,1,10,0.777894
29,1,20,0.821952
29,2,0,0.805401
29,2,5,0.792075
29,2,10,0.813619
29,2,20,0.783629
29,3,0,0.791716
29,3,5,0.715549
29,3,10,0.709444
29,3,20,0.751692
29,4,0,0.805441
29,4,5,0.808663
29,4,10,0.748165
29,4,20,0.771662
30,0,0,0.805698
30,0,5,0.793559
30,0,10,0.804032
30,0,20,0.84524
30,1,0,0.822107
30,1,5,0.770757
30,1,10,0.846203
30,1,20,0.868129
30,2,0,0.818976
30,2,5,0.790359
30,2,10,0.803905
30,2,20,0.831549
30,3,0,0.818585
30,3,5,0.808371
30,3,10,0.842163
30,3,20,0.874817
30,4,0,0.825741
30,4,5,0.772363
30,4,10,0.824944
30,4,20,0.82217
31,0,0,0.709674
31,0,5,0.743881
31,0,10,0.763972
31,0,20,0.781884
31,1,0,0.712208
31,1,5,0.763677
31,1,10,0.741076
31,1,20,0.754595
31,2,0,0.692731
31,2,5,0.711761
31,2,10,0.745472
31,2,20,0.779676
31,3,0,0.71173
31,3,5,0.711455
31,3,10,0.780656
31,3,20,0.767649
31,4,0,0.689721
31,4,5,0.650344
31,4,10,0.746928
31,4,20,0.763925
32,0,0,0.745611
32,0,5,0.69968
32,0,10,0.645296
32,0,20,0.743727
32,1,0,0.76071
32,1,5,0.751995
32,1,10,0.751517
32,1,20,0.763997
32,2,0,0.747123
32,2,5,0.699059
32,2,10,0.711741
32,2,20,0.755685
32,3,0,0.755079
32,3,5,0.726285
32,3,10,0.762621
32,3,20,0.759761
32,4,0,0.775748
32,4,5,0.727498
32,4,10,0.7733
32,4,20,0.777456
33,0,0,0.878883
33,0,5,0.80831
33,0,10,0.780313
33,0,20,0.824575
33,1,0,0.890103
33,1,5,0.918993
33,1,10,0.829023
33,1,20,0.857687
33,2,0,0.885136
33,2,5,0.916904
33,2,10,0.924635
33,2,20,0.942719
33,3,0,0.885166
33,3,5,0.841995
33,3,10,0.888337
33,3,20,0.843382
33,4,0,0.894879
33,4,5,0.850601
33,4,10,0.840674
33,4,20,0.810463
34,0,0,0.832584
34,0,5,0.82124
34,0,10,0.854513
34,0,20,0.874246
34,1,0,0.824902
34,1,5,0.883989
34,1,10,0.916081
34,1,20,0.916899
34,2,0,0.798914
34,2,5,0.826171
34,2,10,0.843454
34,2,20,0.887732
34,3,0,0.820675
34,3,5,0.833811
34,3,10,0.863592
34,3,20,0.908561
34,4,0,0.830342
34,4,5,0.858913
34,4,10,0.888302
34,4,20,0.857672
35,0,0,0.6605
35,0,5,0.690992
35,0,10,0.666146
35,0,20,0.712292
35,1,0,0.676823
35,1,5,0.670237
35,1,10,0.687308
35,1,20,0.715567
35,2,0,0.660042
35,2,5,0.672561
35,2,10,0.71348
35,2,20,0.694595
35,3,0,0.672632
35,3,5,0.636461
35,3,10,0.703283
35,3,20,0.682015
35,4,0,0.66187
35,4,5,0.616165
35,4,10,0.663016
35,4,20,0.705751
36,0,0,0.704495
36,0,5,0.737123
36,0,10,0.736848
36,0,20,0.810918
36,1,0,0.695557
36,1,5,0.699566
36,1,10,0.745203
36,1,20,0.753659
36,2,0,0.687891
36,2,5,0.713772
36,2,10,0.714058
36,2,20,0.709232
36,3,0,0.695475
36,3,5,0.745912
36,3,10,0.747913
36,3,20,0.788488
36,4,0,0.6701
36,4,5,0.670467
36,4,10,0.711661
36,4,20,0.803628
37,0,0,0.882941
37,0,5,0.853106
37,0,10,0.893684
37,0,20,0.915513
37,1,0,0.899341
37,1,5,0.847294
37,1,10,0.818658
37,1,20,0.865239
37,2,0,0.888455
37,2,5,0.810709
37,2,10,0.80631
37,2,20,0.802702
37,3,0,0.873412
37,3,5,0.854264
37,3,10,0.837416
37,3,20,0.861097
37,4,0,0.888793
37,4,5,0.897159
37,4,10,0.892182
37,4,20,0.882906
38,0,0,0.802261
38,0,5,0.801206
38,0,10,0.777239
38,0,20,0.800134
38,1,0,0.802288
38,1,5,0.820814
38,1,10,0.798929
38,1,20,0.821578
38,2,0,0.819899
38,2,5,0.862027
38,2,10,0.862703
38,2,20,0.823946
38,3,0,0.810597
38,3,5,0.791262
38,3,10,0.852985
38,3,20,0.82971
38,4,0,0.807432
38,4,5,0.778019
38,4,10,0.812364
38,4,20,0.816452
39,0,0,0.784576
39,0,5,0.804769
39,0,10,0.774769
39,0,20,0.818694
39,1,0,0.796464
39,1,5,0.846763
39,1,10,0.839701
39,1,20,0.815914
39,2,0,0.788748
39,2,5,0.859535
39,2,10,0.859905
39,2,20,0.848536
39,3,0,0.803677
39,3,5,0.805722
39,3,10,0.805552
39,3,20,0.83957
39,4,0,0.773609
39,4,5,0.826922
39,4,10,0.792167
39,4,20,0.836671
40,0,0,0.748894
40,0,5,0.776211
40,0,10,0.799137
40,0,20,0.820774
40,1,0,0.765795
40,1,5,0.718316
40,1,10,0.805203
40,1,20,0.855642
40,2,0,0.763794
40,2,5,0.815579
40,2,10,0.757907
40,2,20,0.826169
40,3,0,0.765827
40,3,5,0.820899
40,3,10,0.797768
40,3,20,0.811654
40,4,0,0.751685
40,4,5,0.743982
40,4,10,0.815673
40,4,20,0.790366
