SVM+RF+CNN [hard],SVM+RF+CNN [soft],SVM+RF+CNN [weighted_soft],SVM+RF+CNN [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RF+CNN+RESNET_SE [hard],SVM+RF+CNN+RESNET_SE [soft],SVM+RF+CNN+RESNET_SE [weighted_soft],SVM+RF+CNN+RESNET_SE [stacking],SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.8813869404292217,0.9075908335927659,0.9075908335927659,0.9077359978097865,0.9015464574264612,0.9472400483882858,0.9472400483882858,0.9336474794096777,0.8953781773225066,0.9231317785519654,0.9231317785519654,0.9325310942036319,0.858444922684521,0.8696081810717343,0.8696081810717343,0.8783935143891162,0.858444922684521,0.9414511015724512,0.9414511015724512,0.9442006052485936,0.8568400332837391,0.9368548861771953,0.9347539222449506,0.950843198131353
0.8600032124816108,0.8857666802274287,0.884176099016764,0.8694977734868967,0.844800714304036,0.853010299651458,0.853010299651458,0.8631347875213202,0.8504292588920885,0.8635308950697376,0.8635308950697376,0.8637927606586411,0.8166930173542191,0.8313580293209556,0.8313580293209556,0.816660454293616,0.8166930173542191,0.8525670643598878,0.8545761580244339,0.843577351960178,0.8149277876966663,0.8418989573231697,0.8418989573231697,0.8540231438189583
0.9072090305204054,0.9171261088904831,0.9164430668780535,0.9131964729990892,0.9141441624383055,0.9146256230521146,0.9146256230521146,0.910277515327839,0.9011928687420288,0.9198163766200456,0.9198163766200456,0.9121384827024572,0.9000335687796831,0.9068601506996293,0.9068601506996293,0.8999137675451275,0.9000335687796831,0.9145438615192709,0.9145438615192709,0.9077711112713027,0.8939836426295077,0.9004514511639552,0.9029160035471214,0.9107828987200669
0.8023987178532632,0.8040668927905656,0.8040668927905656,0.8115029206810656,0.8194275831168094,0.8297296786654405,0.8297296786654405,0.8203809948918042,0.7964063892134873,0.8132577850677314,0.8132577850677314,0.8234532800293066,0.8077138410107172,0.8030244362150355,0.8030244362150355,0.8003636445332677,0.8077138410107172,0.8269321037145133,0.8269321037145133,0.8313811530449361,0.7711021683080721,0.79540225244521,0.79540225244521,0.8035322084501635
0.8310987194230436,0.8643160375430852,0.86432016431197,0.8706240387140338,0.8463066863857456,0.8922285479520897,0.8922285479520897,0.8867882914533631,0.8684592058418491,0.8908028556905996,0.8908028556905996,0.8878835171229927,0.8426218181543597,0.8294718970678874,0.8294718970678874,0.8188624846124719,0.8426218181543597,0.9026836431262478,0.9026836431262478,0.8901774024141441,0.780019128288689,0.8893116092239942,0.8893116092239942,0.8787644213067323
0.852772072156531,0.8596720468653896,0.8596720468653896,0.8562202865410949,0.8522053019147892,0.8747928921849926,0.8747928921849926,0.8721750911378723,0.8552874013548998,0.8705541785517114,0.8705541785517114,0.8729571002278116,0.8388107682115974,0.836985877334129,0.836985877334129,0.8372542254503016,0.8388107682115974,0.8703847872659054,0.8703847872659054,0.86899228814911,0.8355576483872889,0.8532168188134676,0.8532168188134676,0.8570494141716488
0.8055889938646441,0.8209554833007735,0.8186226839442535,0.8209292001768257,0.8154710392889202,0.8386876385481974,0.8408110413102838,0.8411136632607707,0.8146809758112223,0.833561144523419,0.8361488638216645,0.8313267004924682,0.8042652517120371,0.8036813716384259,0.8036813716384259,0.7929562312164701,0.8042652517120371,0.8444857493013042,0.8444857493013042,0.8383496984525572,0.7829022437545126,0.8221393222812401,0.8221393222812401,0.8170349077091303
0.8112375726658445,0.7849206223231544,0.7849206223231544,0.7779297856780313,0.8179555437523758,0.8323493453015178,0.8323493453015178,0.828771915053144,0.7903738735579788,0.8035600950204911,0.8010969181295826,0.8101959490317275,0.8234392881774706,0.8098892821322284,0.8098892821322284,0.7944478141692607,0.8234392881774706,0.8373536632340608,0.8373536632340608,0.840637877658814,0.7703538754826219,0.7728992999145371,0.7733960832728715,0.7651551423244882
0.8177063362497355,0.8273966386854564,0.8247309421760209,0.8328719936455067,0.8179556894808179,0.8398221121156915,0.8398221121156915,0.8338001505314518,0.8361361700310835,0.8444026833845046,0.8444026833845046,0.8340932262979023,0.7582753072081415,0.7732461629565595,0.7732461629565595,0.7756777731052318,0.7582753072081415,0.8337498239070943,0.8334266733538308,0.8266351495898487,0.7798201964221061,0.8494072145085944,0.8494072145085944,0.837088362866188
0.7170922672670718,0.7542781085110741,0.7456255897603583,0.7542015580942154,0.7174564999162322,0.7655645623316532,0.7655645623316532,0.7751281990875912,0.7384609577096473,0.7872348904509681,0.7872348904509681,0.7690322429848157,0.6926349754468984,0.7178511303511304,0.7178511303511304,0.7274103898362487,0.6926349754468984,0.7756647480777722,0.7756647480777722,0.7688999641332299,0.6827689585011569,0.800013607564849,0.800013607564849,0.7785444947209653
0.7992865287119171,0.8029034972883888,0.7993102982151308,0.8052939701094011,0.7944133919076315,0.8019963958879756,0.8019963958879756,0.7949177181923888,0.7843214582621721,0.8026888127513779,0.8026888127513779,0.788678653042533,0.7784542053178383,0.7900773402031877,0.7900773402031877,0.7870461971349576,0.7784542053178383,0.7904589070149787,0.7880249059166031,0.7897292513990578,0.7942523900240688,0.7892964027277758,0.7892964027277758,0.8081523704946403
