rung,name,probe,class_idx,class_name,draw,value
2,scale_only,mlp,2,UPS,2,0.8299604743083003
2,scale_only,mlp,3,WAK,1,0.7774375
2,scale_only,mlp,3,WAK,0,0.7893541666666668
2,scale_only,mlp,2,UPS,4,0.8564130434782609
2,scale_only,mlp,3,WAK,4,0.7907500000000001
3,mean_scale,linear,0,DNS,0,0.06329761904761903
2,scale_only,mlp,3,WAK,2,0.7718958333333333
3,mean_scale,linear,0,DNS,1,0.05575
3,mean_scale,linear,0,DNS,2,0.06117857142857143
3,mean_scale,linear,0,DNS,3,0.06311904761904763
2,scale_only,mlp,3,WAK,3,0.7893541666666667
3,mean_scale,linear,0,DNS,4,0.049095238095238095
3,mean_scale,linear,1,STDUP,0,0.04937152906330989
3,mean_scale,linear,1,STDUP,1,0.05427804516845612
3,mean_scale,linear,1,STDUP,2,0.04471954831543873
3,mean_scale,linear,1,STDUP,3,0.047996112550907064
3,mean_scale,linear,2,UPS,0,0.06884387351778656
3,mean_scale,linear,2,UPS,1,0.07400197628458496
3,mean_scale,linear,1,STDUP,4,0.04814605701592003
3,mean_scale,linear,2,UPS,2,0.0533201581027668
3,mean_scale,linear,2,UPS,3,0.06116600790513834
3,mean_scale,linear,2,UPS,4,0.06073122529644268
3,mean_scale,linear,3,WAK,0,0.05372916666666666
3,mean_scale,linear,3,WAK,1,0.06195833333333334
3,mean_scale,linear,3,WAK,2,0.05820833333333334
3,mean_scale,linear,3,WAK,4,0.059833333333333336
3,mean_scale,linear,3,WAK,3,0.05264583333333332
3,mean_scale,forest,0,DNS,1,0.9990119047619048
3,mean_scale,forest,0,DNS,0,0.9992738095238096
3,mean_scale,forest,0,DNS,2,0.9995119047619048
3,mean_scale,forest,0,DNS,3,0.999
3,mean_scale,forest,0,DNS,4,0.9992738095238096
3,mean_scale,forest,1,STDUP,0,0.999931506849315
3,mean_scale,forest,1,STDUP,1,0.9998639392817475
3,mean_scale,forest,1,STDUP,2,0.9997278785634951
3,mean_scale,forest,2,UPS,0,0.9993478260869566
3,mean_scale,forest,1,STDUP,3,0.999931506849315
3,mean_scale,forest,1,STDUP,4,0.9999324324324323
3,mean_scale,forest,2,UPS,1,0.9993478260869566
3,mean_scale,forest,2,UPS,2,0.9991007905138339
3,mean_scale,forest,2,UPS,3,0.9995553359683795
3,mean_scale,forest,2,UPS,4,0.9997826086956522
3,mean_scale,forest,3,WAK,0,0.9980208333333334
3,mean_scale,forest,3,WAK,1,0.998375
3,mean_scale,forest,3,WAK,4,0.9983541666666668
3,mean_scale,forest,3,WAK,2,0.999
3,mean_scale,forest,3,WAK,3,0.9990208333333334
3,mean_scale,mlp,0,DNS,0,0.31273809523809526
3,mean_scale,mlp,0,DNS,1,0.3189642857142857
3,mean_scale,mlp,0,DNS,3,0.2934523809523809
3,mean_scale,mlp,0,DNS,2,0.332952380952381
3,mean_scale,mlp,0,DNS,4,0.3206785714285714
3,mean_scale,mlp,1,STDUP,0,0.7184579785264718
3,mean_scale,mlp,1,STDUP,2,0.70056182895224
3,mean_scale,mlp,1,STDUP,1,0.7279128100703443
3,mean_scale,mlp,2,UPS,0,0.31415019762845847
3,mean_scale,mlp,2,UPS,1,0.35374505928853756
3,mean_scale,mlp,1,STDUP,3,0.7291271751203258
3,mean_scale,mlp,2,UPS,3,0.357203557312253
3,mean_scale,mlp,2,UPS,2,0.35213438735177865
