model,subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
RF,12,507,0.7712031558185405,0.6046453546453546,0.6324407888740172,"{'clf__max_depth': None, 'clf__n_estimators': 400}",159.25005090000923,0.4222724999999627
RF,13,752,0.898936170212766,0.8206720645928351,0.824815304527323,"{'clf__max_depth': None, 'clf__n_estimators': 500}",276.6700548999943,0.4125835000013467
RF,14,775,0.8219354838709677,0.7232112449091364,0.7082529099470313,"{'clf__max_depth': None, 'clf__n_estimators': 500}",338.23197339999024,0.4355025000404566
RF,15,610,0.8442622950819673,0.7534061812196171,0.7412222891174174,"{'clf__max_depth': None, 'clf__n_estimators': 500}",407.9036113000184,0.9886069998901804
RF,16,681,0.8839941262848752,0.8131868131868132,0.8262260026880082,"{'clf__max_depth': None, 'clf__n_estimators': 400}",1078.6829428999918,1.1428009999508504
RF,17,703,0.844950213371266,0.7406002534051315,0.7487386728819291,"{'clf__max_depth': None, 'clf__n_estimators': 400}",1148.4879830999998,1.280028500041226
RF,18,640,0.8609375,0.772418497200474,0.7740771120149474,"{'clf__max_depth': None, 'clf__n_estimators': 500}",159.39939259999665,0.5944359999557491
RF,19,716,0.8198324022346368,0.7331001508260574,0.7343881852712333,"{'clf__max_depth': None, 'clf__n_estimators': 400}",224.1402410999872,0.4170909999811556
RF,20,599,0.8263772954924875,0.7095763278920375,0.6981675275532299,"{'clf__max_depth': None, 'clf__n_estimators': 500}",328.59579719998874,0.4936674999771639
RF,21,607,0.8500823723228995,0.7424817385422797,0.7435455334912435,"{'clf__max_depth': None, 'clf__n_estimators': 500}",419.5541300000041,0.5741834999935236
RF,22,722,0.7853185595567868,0.6767212515327726,0.6792142940259585,"{'clf__max_depth': None, 'clf__n_estimators': 500}",589.8785325000063,0.5781559999741148
RF,23,704,0.7997159090909091,0.7436900931573844,0.7307369740298446,"{'clf__max_depth': None, 'clf__n_estimators': 500}",158.5703368000104,0.4779450000205543
RF,24,653,0.8575803981623277,0.7906568471530676,0.7599093678385391,"{'clf__max_depth': None, 'clf__n_estimators': 500}",231.72731740001475,0.5363109998870641
RF,25,616,0.7922077922077922,0.7650456423974785,0.7290655732239891,"{'clf__max_depth': None, 'clf__n_estimators': 500}",338.5897684000083,0.6892825000977609
RF,26,789,0.7858048162230672,0.7061351051773349,0.688119491428614,"{'clf__max_depth': None, 'clf__n_estimators': 400}",431.1991301999951,0.4106895001314115
RF,27,694,0.8847262247838616,0.7897465437788018,0.797548080974541,"{'clf__max_depth': None, 'clf__n_estimators': 500}",575.9045850000111,0.5061570000543725
RF,28,700,0.8357142857142857,0.724953752368896,0.7375961652357746,"{'clf__max_depth': None, 'clf__n_estimators': 400}",157.16468799998984,0.3664399999252055
RF,29,736,0.8491847826086957,0.7429411874895675,0.7538916271112588,"{'clf__max_depth': None, 'clf__n_estimators': 400}",241.6855063000112,0.4934089999005664
RF,30,654,0.8440366972477065,0.7030920207611937,0.7018853064482986,"{'clf__max_depth': None, 'clf__n_estimators': 400}",329.4248043000116,0.3207714999734889
RF,31,758,0.7823218997361477,0.6594150641025641,0.6375411585767652,"{'clf__max_depth': None, 'clf__n_estimators': 500}",437.0932071999996,0.5358624999644235
RF,32,686,0.8411078717201166,0.752265719241574,0.7497405484102411,"{'clf__max_depth': None, 'clf__n_estimators': 500}",547.7728244000173,0.4551659998833202
RF,33,692,0.8973988439306358,0.8300866390113215,0.8331836896601752,"{'clf__max_depth': None, 'clf__n_estimators': 400}",676.0598296999815,0.3595369998947717
RF,34,632,0.8623417721518988,0.7941119505494505,0.7783721198060263,"{'clf__max_depth': None, 'clf__n_estimators': 400}",157.8768736999773,0.4728349999641068
RF,35,852,0.7816901408450704,0.7134120433868907,0.692725943569953,"{'clf__max_depth': None, 'clf__n_estimators': 500}",220.23550500001875,0.4817150000599213
RF,36,734,0.837874659400545,0.7581486406619384,0.7440282801873199,"{'clf__max_depth': None, 'clf__n_estimators': 500}",313.6367427999794,0.4255504999309778
RF,37,680,0.9,0.8122084177578306,0.8296354548334033,"{'clf__max_depth': None, 'clf__n_estimators': 500}",409.1324272000056,0.7150005000585224
RF,38,671,0.8614008941877794,0.70821638599305,0.7243359960142247,"{'clf__max_depth': None, 'clf__n_estimators': 500}",520.2220797000045,0.4757349999272264
RF,39,693,0.873015873015873,0.7132034632034632,0.7172454395113702,"{'clf__max_depth': None, 'clf__n_estimators': 500}",690.5705718999961,0.7892060000449419
RF,40,648,0.8719135802469136,0.7562955004081049,0.7575301152322117,"{'clf__max_depth': None, 'clf__n_estimators': 400}",934.4198587000136,0.5540519999340177
