model,subject,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
RF,4,0.8449942877837584,0.641691727798987,0.20330255998477142,0.8374666634046548,0.6730078622868949,0.1644588011177599
RF,5,0.8449942877837584,0.5420798159078386,0.3029144718759198,0.8374666634046548,0.5629171784756326,0.2745494849290222
RF,6,0.8449942877837584,0.6811268297475194,0.16386745803623903,0.8374666634046548,0.6788943501810456,0.1585723132236092
RF,7,0.8449942877837584,0.6899579922159047,0.1550362955678537,0.8374666634046548,0.6971898571195219,0.14027680628513295
RF,8,0.8449942877837584,0.6836580085684344,0.161336279215324,0.8374666634046548,0.6877652386373316,0.14970142476732318
RF,9,0.8449942877837584,0.749023530817009,0.0959707569667494,0.8374666634046548,0.7363489243352613,0.10111773906939348
RF,10,0.8449942877837584,0.5751137282918168,0.26988055949194156,0.8374666634046548,0.6208133971291866,0.21665326627546821
RF,11,0.8449942877837584,0.8362823060250102,0.00871198175874821,0.8374666634046548,0.8512068565935056,-0.01374019318885078
RF,12,0.8449942877837584,0.6324407888740172,0.21255349890974118,0.8374666634046548,0.6046453546453546,0.23282130875930018
RF,13,0.8449942877837584,0.824815304527323,0.020178983256435412,0.8374666634046548,0.8206720645928351,0.01679459881181966
RF,14,0.8449942877837584,0.7082529099470313,0.13674137783672713,0.8374666634046548,0.7232112449091364,0.11425541849551846
RF,15,0.8449942877837584,0.7412222891174174,0.10377199866634101,0.8374666634046548,0.7534061812196171,0.0840604821850377
RF,16,0.8449942877837584,0.8262260026880082,0.018768285095750237,0.8374666634046548,0.8131868131868132,0.024279850217841625
RF,17,0.8449942877837584,0.7487386728819291,0.09625561490182932,0.8374666634046548,0.7406002534051315,0.09686640999952334
RF,18,0.8449942877837584,0.7740771120149474,0.07091717576881096,0.8374666634046548,0.772418497200474,0.06504816620418086
RF,19,0.8449942877837584,0.7343881852712333,0.11060610251252512,0.8374666634046548,0.7331001508260574,0.10436651257859741
RF,20,0.8449942877837584,0.6981675275532299,0.14682676023052854,0.8374666634046548,0.7095763278920375,0.1278903355126173
RF,21,0.8449942877837584,0.7435455334912435,0.10144875429251488,0.8374666634046548,0.7424817385422797,0.09498492486237509
RF,22,0.8449942877837584,0.6792142940259585,0.16577999375779995,0.8374666634046548,0.6767212515327726,0.16074541187188218
RF,23,0.8449942877837584,0.7307369740298446,0.11425731375391379,0.8374666634046548,0.7436900931573844,0.09377657024727037
RF,24,0.8449942877837584,0.7599093678385391,0.08508491994521927,0.8374666634046548,0.7906568471530676,0.0468098162515872
RF,25,0.8449942877837584,0.7290655732239891,0.11592871455976927,0.8374666634046548,0.7650456423974785,0.07242102100717629
RF,26,0.8449942877837584,0.688119491428614,0.15687479635514445,0.8374666634046548,0.7061351051773349,0.1313315582273199
RF,27,0.8449942877837584,0.797548080974541,0.047446206809217406,0.8374666634046548,0.7897465437788018,0.047720119625852986
RF,28,0.8449942877837584,0.7375961652357746,0.10739812254798375,0.8374666634046548,0.724953752368896,0.11251291103575878
RF,29,0.8449942877837584,0.7538916271112588,0.09110266067249961,0.8374666634046548,0.7429411874895675,0.09452547591508731
RF,30,0.8449942877837584,0.7018853064482986,0.1431089813354598,0.8374666634046548,0.7030920207611937,0.1343746426434611
RF,31,0.8449942877837584,0.6375411585767652,0.20745312920699321,0.8374666634046548,0.6594150641025641,0.1780515993020907
RF,32,0.8449942877837584,0.7497405484102411,0.09525373937351733,0.8374666634046548,0.752265719241574,0.08520094416308077
RF,33,0.8449942877837584,0.8331836896601752,0.011810598123583205,0.8374666634046548,0.8300866390113215,0.007380024393333295
RF,34,0.8449942877837584,0.7783721198060263,0.06662216797773213,0.8374666634046548,0.7941119505494505,0.043354712855204314
RF,35,0.8449942877837584,0.692725943569953,0.15226834421380542,0.8374666634046548,0.7134120433868907,0.12405462001776413
RF,36,0.8449942877837584,0.7440282801873199,0.10096600759643848,0.8374666634046548,0.7581486406619384,0.07931802274271638
RF,37,0.8449942877837584,0.8296354548334033,0.015358832950355117,0.8374666634046548,0.8122084177578306,0.025258245646824218
RF,38,0.8449942877837584,0.7243359960142247,0.12065829176953369,0.8374666634046548,0.70821638599305,0.12925027741160477
RF,39,0.8449942877837584,0.7172454395113702,0.1277488482723882,0.8374666634046548,0.7132034632034632,0.12426320020119164
RF,40,0.8449942877837584,0.7575301152322117,0.0874641725515467,0.8374666634046548,0.7562955004081049,0.08117116299654992
