SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.7298605455735194,0.745339237514993,0.745339237514993,0.7546702650897497,0.8033968623520553,0.8130600870303217,0.8230745735382387,0.8281077374216186,0.8229863982628072,0.827780783198464,0.8316124833959107,0.8367736079754149,0.8229863982628072,0.8367198771443471,0.8433795535173487,0.8379502225250064
0.6764175957441693,0.7288967266151981,0.7288967266151981,0.7406684678319221,0.7696289778692281,0.8088956667825444,0.8127651448636246,0.8185839049838002,0.8105694274671286,0.829120954789786,0.8298968067849777,0.8172251903146679,0.8105694274671286,0.8079324734639961,0.8132644463138547,0.8148081603366952
0.6852724367396084,0.7328673784172903,0.7328673784172903,0.7348113191278497,0.7945659991484725,0.822459932131929,0.825614225895916,0.8253275380483758,0.786832906815587,0.8111822915115783,0.81483639899751,0.8189770710234725,0.786832906815587,0.8072490809742923,0.8096110730811683,0.8101794996969398
0.7680174319261338,0.7804420496242107,0.7804420496242107,0.7750637913511158,0.8175856301406549,0.8827291950021794,0.8842815928430581,0.9068837157932771,0.9082572012001204,0.907614249091239,0.915357006432518,0.9096921051526508,0.9082572012001204,0.9296366731705443,0.9296366731705443,0.9270871707155592
0.7363611427329986,0.7375016052274896,0.7375016052274896,0.7428610979275431,0.7592918655083316,0.7767849893072587,0.7787407662205608,0.8156070147830108,0.8003377829096816,0.7843561566138814,0.7884063637590413,0.8083419606141384,0.8003377829096816,0.7893568142739108,0.7907972787781422,0.8114191821795678
0.8291525086155735,0.8315414599934948,0.8315414599934948,0.8283386376613873,0.8717348748161806,0.8973714962325866,0.9016591621362929,0.9145563911792048,0.9025924069484389,0.9278141588892024,0.9297321735847297,0.9146460682950024,0.9025924069484389,0.9205244652823723,0.91968057557421,0.905328162743791
0.8087149984189221,0.8087167045567987,0.8087167045567987,0.8101258158561204,0.838415219741473,0.8636728447523555,0.8697089731950232,0.8912287873940503,0.8036751585075397,0.8890444219704222,0.8849470100397324,0.8972837246832661,0.8036751585075397,0.8485945892278346,0.851977843689687,0.8424848304607748
0.7889011178336834,0.7818914730543475,0.7818914730543475,0.7805231183382444,0.8001217446683521,0.8356997853968771,0.8386655861589467,0.8530862755112105,0.8679324789502041,0.8537420384866312,0.8551968056628207,0.8534321449284812,0.8679324789502041,0.8413257484601007,0.8413257484601007,0.848056959372081
0.8003173741104742,0.8164012616904505,0.8164012616904505,0.8241433473499221,0.814710694137107,0.8432285779808999,0.8470921398116793,0.8616660980675033,0.8243258732107972,0.8646594863526469,0.8671937901827671,0.855078457336687,0.8243258732107972,0.8683783169226419,0.8631051497981957,0.8499031342724628
0.7377602508887344,0.7423233240054189,0.7423233240054189,0.7485412127580856,0.7647396862027521,0.7769039423275411,0.7769039423275411,0.7965849673613078,0.793511514442473,0.7871540744529235,0.7897184464759348,0.7962272914380112,0.793511514442473,0.8059658109203888,0.8101158337862251,0.8055851452012492
0.7344483912664599,0.7659991144696452,0.7659991144696452,0.7600509903736714,0.808703530167809,0.8482841112257683,0.849990081196695,0.868578612954674,0.8536963366136607,0.860980255438257,0.8586103444282529,0.8663750802402261,0.8536963366136607,0.8618230386090392,0.8634993782233303,0.8705985939002243
0.8477766212286448,0.8603266788314902,0.8603266788314902,0.8539838556656056,0.8804194070466653,0.9021553190317968,0.9021553190317968,0.9061195272986985,0.9044424033359716,0.9080019130187772,0.911172269109241,0.9077466222511856,0.9044424033359716,0.9112936838675216,0.9112936838675216,0.8980191153262884
0.844441056815531,0.854605019073881,0.854605019073881,0.8555244792475258,0.886668822654924,0.9050580819107423,0.9054374838452062,0.9244400521406175,0.9096531814754379,0.9157145965096202,0.9187660817379869,0.9339235417296987,0.9096531814754379,0.9057833033126239,0.9060348913085905,0.9208939836371186
0.7501497150169296,0.7385697655475938,0.7385697655475938,0.7378346482145538,0.7519065033286536,0.7623811127485907,0.7594361582488939,0.7508782879978838,0.7200351834322918,0.7581882771745352,0.7538902325089769,0.7568125878931266,0.7200351834322918,0.7302332535885168,0.7323550548688331,0.7418540213661796
