subject,member,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK,crit_err
27,RESNET_SE,0.8942720615055819,0.8681318681318682,0.9247311827956989,0.882051282051282,0.9021739130434783,0.03225806451612903
27,soft,0.8930673895124972,0.8524590163934426,0.9347826086956522,0.88,0.9050279329608939,0.021505376344086023
27,hard,0.8942720615055819,0.8681318681318682,0.9247311827956989,0.882051282051282,0.9021739130434783,0.03225806451612903
28,SVM,0.7821263294157765,0.7791164658634538,0.8205128205128205,0.8360655737704918,0.6928104575163399,0.0625
28,RESNET_SE,0.8200806771863219,0.8810572687224669,0.8888888888888888,0.8130081300813008,0.6973684210526315,0.008928571428571428
28,soft,0.8785019990004997,0.9224137931034483,0.9782608695652174,0.88,0.7333333333333333,0.026785714285714284
28,hard,0.8200806771863219,0.8810572687224669,0.8888888888888888,0.8130081300813008,0.6973684210526315,0.008928571428571428
29,SVM,0.8217697078831532,0.7755102040816326,0.95,0.8549019607843137,0.7066666666666667,0.05660377358490566
29,RESNET_SE,0.8775836113262601,0.8355555555555556,0.9516129032258065,0.9182879377431906,0.8048780487804879,0.0660377358490566
29,soft,0.8762921438736191,0.8311688311688312,0.9752066115702479,0.918918918918919,0.779874213836478,0.0660377358490566
29,hard,0.8775836113262601,0.8355555555555556,0.9516129032258065,0.9182879377431906,0.8048780487804879,0.0660377358490566
30,SVM,0.8002804262215493,0.7717391304347826,0.8837209302325582,0.8586387434554974,0.6870229007633588,0.14285714285714285
30,RESNET_SE,0.9142811042912462,0.8727272727272727,0.9318181818181818,0.9261083743842364,0.9264705882352942,0.054945054945054944
30,soft,0.8982305104136362,0.8685714285714285,0.9111111111111111,0.9326424870466321,0.8805970149253731,0.06593406593406594
30,hard,0.9142811042912462,0.8727272727272727,0.9318181818181818,0.9261083743842364,0.9264705882352942,0.054945054945054944
31,SVM,0.6899581432205819,0.5660377358490566,0.8888888888888888,0.6263345195729537,0.6785714285714286,0.06382978723404255
31,RESNET_SE,0.7644814868585685,0.6824644549763034,0.9504950495049505,0.7449664429530202,0.68,0.09574468085106383
31,soft,0.7758926581146455,0.6826923076923077,0.9504950495049505,0.7386759581881533,0.7317073170731707,0.07446808510638298
31,hard,0.7644814868585685,0.6824644549763034,0.9504950495049505,0.7449664429530202,0.68,0.09574468085106383
32,SVM,0.7682389047224412,0.714975845410628,0.9259259259259259,0.7364016736401674,0.6956521739130435,0.125
32,RESNET_SE,0.7788384222845365,0.7553648068669528,0.9391304347826087,0.7488584474885844,0.672,0.08928571428571429
32,soft,0.8278714303442071,0.7777777777777778,0.9473684210526315,0.8017241379310345,0.7846153846153846,0.08035714285714286
32,hard,0.7788384222845365,0.7553648068669528,0.9391304347826087,0.7488584474885844,0.672,0.08928571428571429
33,SVM,0.805586111161334,0.848780487804878,0.9122807017543859,0.7288888888888889,0.7323943661971831,0.010526315789473684
33,RESNET_SE,0.9006721881168511,0.8857142857142857,0.9454545454545454,0.8504672897196262,0.9210526315789473,0.010526315789473684
33,soft,0.9061939751508337,0.8942307692307693,0.9636363636363636,0.867579908675799,0.8993288590604027,0.010526315789473684
33,hard,0.9006721881168511,0.8857142857142857,0.9454545454545454,0.8504672897196262,0.9210526315789473,0.010526315789473684
34,SVM,0.84504352609655,0.8691099476439791,0.8157894736842105,0.8631578947368421,0.8321167883211679,0.06593406593406594
34,RESNET_SE,0.8038275505634809,0.8953488372093024,0.7560975609756098,0.7853403141361257,0.7785234899328859,0.12087912087912088
34,soft,0.8506490805046613,0.9050279329608939,0.8,0.8404255319148937,0.8571428571428571,0.08791208791208792
34,hard,0.8038275505634809,0.8953488372093024,0.7560975609756098,0.7853403141361257,0.7785234899328859,0.12087912087912088
35,SVM,0.6629757549375076,0.5667752442996743,0.6857142857142857,0.6903225806451613,0.7090909090909091,0.17801047120418848
35,RESNET_SE,0.6664352082160465,0.6012658227848101,0.7155963302752294,0.7394366197183099,0.6094420600858369,0.2879581151832461
35,soft,0.6922806139519715,0.5806451612903226,0.7090909090909091,0.7651006711409396,0.7142857142857143,0.2198952879581152
35,hard,0.6664352082160465,0.6012658227848101,0.7155963302752294,0.7394366197183099,0.6094420600858369,0.2879581151832461
36,SVM,0.6954212085360771,0.5975103734439834,0.865979381443299,0.5929203539823009,0.7252747252747253,0.1276595744680851
36,RESNET_SE,0.7623199328294754,0.6818181818181818,0.8571428571428571,0.7124463519313304,0.7978723404255319,0.11702127659574468
36,soft,0.7252140248938004,0.6406926406926406,0.8737864077669902,0.6046511627906976,0.7817258883248731,0.14893617021276595
36,hard,0.7623199328294754,0.6818181818181818,0.8571428571428571,0.7124463519313304,0.7978723404255319,0.11702127659574468
37,SVM,0.8307714839091317,0.7885714285714286,0.9387755102040817,0.7634408602150538,0.8322981366459627,0.07228915662650602
37,RESNET_SE,0.8644904394745109,0.8837209302325582,0.9615384615384616,0.8181818181818182,0.7945205479452054,0.024096385542168676
37,soft,0.8618901551059535,0.8705882352941177,0.9514563106796117,0.8121827411167513,0.8133333333333334,0.04819277108433735
37,hard,0.8644904394745109,0.8837209302325582,0.9615384615384616,0.8181818181818182,0.7945205479452054,0.024096385542168676
38,SVM,0.7720925645593404,0.7956989247311828,0.7368421052631579,0.7701149425287356,0.7857142857142857,0.023255813953488372
38,RESNET_SE,0.7816368912259324,0.797979797979798,0.7837837837837838,0.6986301369863014,0.8461538461538461,0.046511627906976744
38,soft,0.8348209611595835,0.8663101604278075,0.7894736842105263,0.7875,0.896,0.023255813953488372
38,hard,0.7816368912259324,0.797979797979798,0.7837837837837838,0.6986301369863014,0.8461538461538461,0.046511627906976744
39,SVM,0.7221471419362184,0.8042328042328042,0.8037383177570093,0.7301587301587301,0.5504587155963303,0.07954545454545454
39,RESNET_SE,0.8150755130909122,0.8505747126436781,0.8813559322033898,0.782608695652174,0.7457627118644068,0.125
