arm,model,subject,mode,f1,crit_err
B,RF,39,smoothed,0.8288707888763868,0.022727272727272728
B,RF,40,unsmoothed,0.7988181353830358,0.05
B,RF,40,smoothed,0.9221192565089303,0.0
C,SVM,1,unsmoothed,0.6610942948088491,0.06666666666666667
C,SVM,1,smoothed,0.7924680929766147,0.016666666666666666
C,SVM,2,unsmoothed,0.8641173938134359,0.012987012987012988
C,SVM,2,smoothed,0.9407031396879113,0.0
C,SVM,3,unsmoothed,0.8026899482277057,0.13274336283185842
C,SVM,3,smoothed,0.8922563078813079,0.09734513274336283
C,SVM,4,unsmoothed,0.7679634527580891,0.0379746835443038
C,SVM,4,smoothed,0.8895787428598096,0.0
C,SVM,5,unsmoothed,0.6954911174105827,0.15584415584415584
C,SVM,5,smoothed,0.7727628519043835,0.1038961038961039
C,SVM,6,unsmoothed,0.7559901477531702,0.1276595744680851
C,SVM,6,smoothed,0.8850386277505655,0.0851063829787234
C,SVM,7,unsmoothed,0.774968415788696,0.01904761904761905
C,SVM,7,smoothed,0.8960332634192669,0.0
C,SVM,8,unsmoothed,0.7543530055835337,0.10465116279069768
C,SVM,8,smoothed,0.8805565779249991,0.011627906976744186
C,SVM,9,unsmoothed,0.7924311503784587,0.16
C,SVM,9,smoothed,0.920730602667784,0.056
C,SVM,10,unsmoothed,0.6979028659134293,0.0
C,SVM,10,smoothed,0.786918493467802,0.0
C,SVM,11,unsmoothed,0.858444922684521,0.012987012987012988
C,SVM,11,smoothed,0.9869848431579359,0.0
C,SVM,12,unsmoothed,0.8166930173542191,0.05194805194805195
C,SVM,12,smoothed,0.940218142363156,0.012987012987012988
C,SVM,13,unsmoothed,0.9000335687796831,0.05405405405405406
C,SVM,13,smoothed,1.0,0.0
C,SVM,14,unsmoothed,0.8077138410107172,0.11278195488721804
C,SVM,14,smoothed,0.9345592719949827,0.03759398496240601
C,SVM,15,unsmoothed,0.8426218181543597,0.060240963855421686
C,SVM,15,smoothed,0.9965622612681436,0.0
C,SVM,16,unsmoothed,0.8388107682115974,0.08791208791208792
C,SVM,16,smoothed,0.9592098483649736,0.0
C,SVM,17,unsmoothed,0.8042652517120371,0.09523809523809523
C,SVM,17,smoothed,0.9469283976344438,0.01904761904761905
C,SVM,18,unsmoothed,0.8234392881774706,0.20930232558139536
C,SVM,18,smoothed,0.9500015671033661,0.09302325581395349
C,SVM,19,unsmoothed,0.7582753072081415,0.1308411214953271
C,SVM,19,smoothed,0.934148603044905,0.056074766355140186
C,SVM,20,unsmoothed,0.6926349754468984,0.0
C,SVM,20,smoothed,0.7752376286553785,0.0
C,SVM,21,unsmoothed,0.7784542053178383,0.0
C,SVM,21,smoothed,0.930293574066895,0.0
C,SVM,22,unsmoothed,0.7298605455735194,0.1349206349206349
C,SVM,22,smoothed,0.8859961478069388,0.07142857142857142
C,SVM,23,unsmoothed,0.6764175957441693,0.1111111111111111
C,SVM,23,smoothed,0.8424806023932504,0.027777777777777776
C,SVM,24,unsmoothed,0.6852724367396084,0.0641025641025641
C,SVM,24,smoothed,0.8936648943403801,0.01282051282051282
C,SVM,25,unsmoothed,0.7680174319261338,0.1511627906976744
C,SVM,25,smoothed,0.9242649038153363,0.023255813953488372
C,SVM,26,unsmoothed,0.7363611427329986,0.28776978417266186
C,SVM,26,smoothed,0.845098519274449,0.2446043165467626
C,SVM,27,unsmoothed,0.8291525086155735,0.0
C,SVM,27,smoothed,0.9391497522393749,0.0
C,SVM,28,unsmoothed,0.8087149984189221,0.09821428571428571
C,SVM,28,smoothed,0.9513538899273632,0.03571428571428571
C,SVM,29,unsmoothed,0.7889011178336834,0.08490566037735849
C,SVM,29,smoothed,0.9279454530649038,0.009433962264150943
C,SVM,30,unsmoothed,0.8003173741104742,0.14285714285714285
C,SVM,30,smoothed,0.9538258971659208,0.054945054945054944
C,SVM,31,unsmoothed,0.7377602508887344,0.11702127659574468
C,SVM,31,smoothed,0.8686577985956415,0.031914893617021274
C,SVM,32,unsmoothed,0.7344483912664599,0.19642857142857142
C,SVM,32,smoothed,0.9083857683819819,0.08928571428571429
C,SVM,33,unsmoothed,0.8477766212286448,0.042105263157894736
C,SVM,33,smoothed,0.9751642075202285,0.010526315789473684
C,SVM,34,unsmoothed,0.844441056815531,0.08791208791208792
C,SVM,34,smoothed,0.9529229084714099,0.02197802197802198
C,SVM,35,unsmoothed,0.7501497150169296,0.14136125654450263
C,SVM,35,smoothed,0.836232052495566,0.1256544502617801
C,SVM,36,unsmoothed,0.7203683413360833,0.20212765957446807
C,SVM,36,smoothed,0.8405370469708049,0.06382978723404255
C,SVM,37,unsmoothed,0.7907394434391044,0.1686746987951807
C,SVM,37,smoothed,0.8659564506103059,0.14457831325301204
C,SVM,38,unsmoothed,0.80764422807116,0.011627906976744186
C,SVM,38,smoothed,0.9536669476952307,0.0
C,SVM,39,unsmoothed,0.7681083234921882,0.09090909090909091
C,SVM,39,smoothed,0.9263513537786175,0.022727272727272728
C,SVM,40,unsmoothed,0.7593831519907634,0.0625
C,SVM,40,smoothed,0.9214406329827026,0.0
C,RF,1,unsmoothed,0.6026753059144594,0.025
C,RF,1,smoothed,0.5896111706051735,0.0
C,RF,2,unsmoothed,0.8502282632843694,0.025974025974025976
C,RF,2,smoothed,0.9005053611444546,0.0
