subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
12,RF,balanced,3813,0.799555288622626,0.7017543859649122,0.9264705882352942,0.8021390374331551,0.7678571428571429
13,SVM,imbalanced,14243,0.8935695131978626,0.8523206751054853,0.9816091954022989,0.8847926267281107,0.8555555555555555
13,RF,imbalanced,14243,0.890760382372278,0.8333333333333334,0.9909706546275395,0.8930232558139535,0.8457142857142858
13,SVM,balanced,3784,0.8900654029668073,0.8451882845188284,0.9827784156142365,0.8878504672897196,0.8444444444444444
13,RF,balanced,3784,0.8852822736651818,0.8290598290598291,0.9804372842347526,0.8810572687224669,0.8505747126436781
14,SVM,imbalanced,14243,0.8058885232414644,0.7121212121212122,0.96,0.807843137254902,0.7435897435897436
14,RF,imbalanced,14243,0.7666521144543494,0.6434108527131783,0.9427609427609428,0.7859922178988327,0.6944444444444444
14,SVM,balanced,3776,0.7976619538786051,0.6789667896678967,0.9539170506912442,0.8,0.7577639751552795
14,RF,balanced,3776,0.7191828098082774,0.558282208588957,0.8902439024390244,0.7615384615384615,0.6666666666666666
15,SVM,imbalanced,14312,0.834115365692586,0.7640449438202247,0.9697802197802198,0.8087431693989071,0.7938931297709924
15,RF,imbalanced,14312,0.7790970661062557,0.6627906976744186,0.9713506139154161,0.7254901960784313,0.7567567567567568
15,SVM,balanced,3808,0.8357542559917572,0.7752808988764045,0.9711141678129298,0.8087431693989071,0.7878787878787878
15,RF,balanced,3808,0.7638237512063263,0.6229508196721312,0.949438202247191,0.7307692307692307,0.7521367521367521
16,SVM,imbalanced,14290,0.8171264214191113,0.7437185929648241,0.9470899470899471,0.7264150943396226,0.8512820512820513
16,RF,imbalanced,14290,0.8330579293548289,0.7715736040609137,0.9530026109660574,0.7655502392344498,0.8421052631578947
16,SVM,balanced,3792,0.8068197114502136,0.6985645933014354,0.9358288770053476,0.7342995169082126,0.8585858585858586
16,RF,balanced,3792,0.7730184360852084,0.6637554585152838,0.8913649025069638,0.7247706422018348,0.8121827411167513
17,SVM,imbalanced,14301,0.8099535441017278,0.729064039408867,0.9883268482490273,0.7804878048780488,0.7419354838709677
17,RF,imbalanced,14301,0.7829022437545126,0.6972477064220184,0.9846547314578005,0.7213114754098361,0.7283950617283951
