subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
24,CNN,balanced,3801,0.6270687965042459,0.4688995215311005,0.8757062146892656,0.5895953757225434,0.5740740740740741
25,CNN,imbalanced,14317,0.7203404738153961,0.5117845117845118,0.833592534992224,0.6875,0.8484848484848485
25,CNN,balanced,3805,0.7139239082771386,0.4457831325301205,0.7266553480475382,0.8044692737430168,0.8787878787878788
26,CNN,imbalanced,14259,0.6867952155201088,0.44933920704845814,0.9422850412249706,0.7389558232931727,0.616600790513834
26,CNN,balanced,3766,0.6806497110215619,0.48484848484848486,0.9371293001186239,0.7088607594936709,0.5917602996254682
27,CNN,imbalanced,14276,0.8475253113438134,0.7165775401069518,0.9926470588235294,0.8504672897196262,0.8304093567251462
27,CNN,balanced,3792,0.8626281839269527,0.7395833333333334,0.9889570552147239,0.8599033816425121,0.8620689655172413
28,CNN,imbalanced,14303,0.7401966682248807,0.719626168224299,0.9621903520208605,0.6952380952380952,0.583732057416268
28,CNN,balanced,3781,0.8104810192183433,0.7741935483870968,0.9712041884816754,0.808695652173913,0.6878306878306878
29,CNN,imbalanced,14276,0.765198826877496,0.5909090909090909,0.9543269230769231,0.8373983739837398,0.6781609195402298
29,CNN,balanced,3778,0.7669412957851454,0.5948275862068966,0.9526123936816525,0.8536585365853658,0.6666666666666666
30,CNN,imbalanced,14287,0.8013001781130336,0.7857142857142857,0.9748110831234257,0.8430493273542601,0.6016260162601627
30,CNN,balanced,3802,0.8432597002201919,0.813953488372093,0.9758576874205845,0.8545454545454545,0.7286821705426356
31,CNN,imbalanced,14260,0.7029776496402229,0.5126050420168067,0.9378806333739342,0.7124183006535948,0.6490066225165563
31,CNN,balanced,3776,0.6874391540709907,0.5232067510548524,0.9619047619047619,0.6357142857142857,0.6289308176100629
32,CNN,imbalanced,14292,0.7425872688092577,0.6009852216748769,0.9730423620025674,0.7160493827160493,0.6802721088435374
32,CNN,balanced,3790,0.7247009715678412,0.584070796460177,0.958656330749354,0.7142857142857143,0.6417910447761194
33,CNN,imbalanced,14280,0.909314793334838,0.8932038834951457,0.9888475836431226,0.8545454545454545,0.9006622516556292
33,CNN,balanced,3792,0.9104796735714737,0.9170731707317074,0.9838107098381071,0.8493150684931506,0.89171974522293
34,CNN,imbalanced,14311,0.8265357372115049,0.8342245989304813,0.962059620596206,0.7557603686635944,0.7540983606557377
34,CNN,balanced,3801,0.8386873418252521,0.8494623655913979,0.9601100412654745,0.7818181818181819,0.7633587786259542
35,CNN,imbalanced,14263,0.7007620193305212,0.572347266881029,0.9353007945516458,0.6710097719869706,0.624390243902439
35,CNN,balanced,3744,0.7079218024936401,0.617737003058104,0.9407665505226481,0.6534653465346535,0.6197183098591549
36,CNN,imbalanced,14280,0.6544020029114551,0.49206349206349204,0.9603841536614646,0.5023696682464455,0.6627906976744186
36,CNN,balanced,3778,0.6521255723240167,0.4523809523809524,0.9484029484029484,0.5229357798165137,0.6847826086956522
37,CNN,imbalanced,14266,0.886444894659224,0.7973856209150327,0.9788235294117648,0.8900523560209425,0.8795180722891566
37,CNN,balanced,3800,0.8520644747191753,0.7261146496815286,0.9728453364817001,0.8387096774193549,0.8705882352941177
38,CNN,imbalanced,14251,0.8093584020305812,0.72,0.9766355140186916,0.6712328767123288,0.8695652173913043
38,CNN,balanced,3808,0.8107653358101019,0.7378640776699029,0.9684947491248541,0.7006369426751592,0.8360655737704918
39,CNN,imbalanced,14236,0.7386715797430083,0.6555555555555556,0.9750566893424036,0.7685185185185185,0.5555555555555556
39,CNN,balanced,3806,0.750674352769014,0.6368159203980099,0.9726027397260274,0.7596153846153846,0.6336633663366337
40,CNN,imbalanced,14285,0.797215130963804,0.759493670886076,0.9809402795425667,0.7211538461538461,0.7272727272727273
40,CNN,balanced,3805,0.767106906192849,0.6956521739130435,0.9771573604060914,0.7236180904522613,0.672
