feature_set,subject,SVM,RF
Freq-72,2,0.8729166904278644,0.8502282632843694
Freq-72,3,0.8123476884987733,0.7844170805503818
Freq-72,4,0.7809203568641745,0.7922746997349666
Freq-72,5,0.698487429709867,0.6582109311114686
Freq-72,6,0.7460078974475345,0.7145014755448332
Freq-72,7,0.7732346983942175,0.7481762662220409
Freq-72,8,0.74807780287718,0.7513695213612382
Freq-72,9,0.7909824919648527,0.7752577572551006
Freq-72,10,0.7102313419474202,0.7383121311281183
Freq-72,11,0.8682620835916856,0.8568400332837391
Freq-72,12,0.8270668452343122,0.8149277876966663
Freq-72,13,0.8935695131978626,0.8939836426295077
Freq-72,14,0.8058885232414644,0.7711021683080721
Freq-72,15,0.834115365692586,0.780019128288689
Freq-72,16,0.8171264214191113,0.8355576483872889
Freq-72,17,0.8099535441017278,0.7829022437545126
Freq-72,18,0.8119286933746366,0.7703538754826219
Freq-72,19,0.7493323266051085,0.7798201964221061
Freq-72,20,0.721121202384184,0.6827689585011569
Freq-72,21,0.7627346519666744,0.7942523900240688
Freq-72,22,0.7409953852292037,0.7366067642150091
Freq-72,23,0.6963617112667909,0.7305645669132046
Freq-72,24,0.7011497642333242,0.7449661101196623
Freq-72,25,0.7520582218447945,0.779662855593143
Freq-72,26,0.7276029762323566,0.7152486610417648
Freq-72,27,0.8471334964401774,0.827541169893101
Freq-72,28,0.802751648625109,0.779837012094181
Freq-72,29,0.8037798587399274,0.7418081158937451
Freq-72,30,0.8040059719751332,0.815420191924198
Freq-72,31,0.7340918274538094,0.706385129084563
Freq-72,32,0.7357707426793634,0.7675591337772055
Freq-72,33,0.8382067895501709,0.8483985123769411
Freq-72,34,0.8423175942747149,0.8450584444471654
Freq-72,35,0.7309437258400238,0.7011606199497994
Freq-72,36,0.7040875634942992,0.7455897454602711
Freq-72,37,0.7961891858803415,0.8694714899812868
Freq-72,38,0.8108652090258592,0.838085497627845
Freq-72,39,0.7478608553780732,0.7523619214748247
Freq-72,40,0.7466845799121155,0.8060080973387425
Combined-81,1,0.6744004658875427,0.5968400365361931
Combined-81,2,0.8596691893540331,0.8352626600920567
Combined-81,3,0.8105407187234236,0.7910408803560488
Combined-81,4,0.7695236396277517,0.7769848272339019
Combined-81,5,0.6854921457139704,0.6663843705302815
Combined-81,6,0.741339051571063,0.732375626849592
Combined-81,7,0.7825961542334009,0.7530080910241256
Combined-81,8,0.7453632466282948,0.7614215798306158
Combined-81,9,0.7943892281904007,0.7657134436229445
Combined-81,10,0.7076513911620295,0.747465336017205
Combined-81,11,0.8649231661524479,0.8805579952112885
Combined-81,12,0.8349315489632931,0.8167779138669549
Combined-81,13,0.8946853880446223,0.8981441147739082
Combined-81,14,0.8066967779476792,0.7726553920120511
Combined-81,15,0.8379500100177575,0.7855785772261104
Combined-81,16,0.8214845066674487,0.826493958044053
Combined-81,17,0.8100757832085019,0.7760927942159032
Combined-81,18,0.8080799981323542,0.7599422676350189
Combined-81,19,0.7370974623692015,0.773339501427687
Combined-81,20,0.7014988019389974,0.7230433320462185
Combined-81,21,0.7662655900781226,0.7997782565735948
Combined-81,22,0.739389882076128,0.740667618316066
Combined-81,23,0.686075058048428,0.7357249344785813
Combined-81,24,0.6941090704332007,0.7573190115722042
Combined-81,25,0.7607179198510468,0.784061886739557
Combined-81,26,0.7152382637296424,0.7081589984125849
Combined-81,27,0.829077252365469,0.8303363075396184
Combined-81,28,0.7908827242030942,0.7799155470234141
Combined-81,29,0.8067998021250053,0.7484703664721125
Combined-81,30,0.8033221790382628,0.8081893597566187
Combined-81,31,0.7354661170666231,0.7157333123212993
Combined-81,32,0.7446841350250849,0.7872778031626717
Combined-81,33,0.8375196950226822,0.8358341658441741
Combined-81,34,0.8427297983969362,0.8504055031270982
Combined-81,35,0.735834612387965,0.7215354022232973
Combined-81,36,0.6992196115245757,0.7252515586057617
Combined-81,37,0.802880415146323,0.880116697797634
Combined-81,38,0.8334331088384468,0.8514490523253877
Combined-81,39,0.7317703196432005,0.7672609240785162
Combined-81,40,0.7552584352952161,0.8141413527855317
