subject,channel,alpha,f1,drop_pp
2,4,1.0,0.8645669018202569,0.0
2,4,0.75,0.8601924257319479,0.4374476088308987
2,4,0.5,0.8598516712392501,0.47152305810067574
2,4,0.25,0.8497091411336138,1.4857760686643018
2,4,0.0,0.8496612764146434,1.4905625405613465
2,5,1.0,0.8645669018202569,0.0
2,5,0.75,0.8591067563116689,0.5460145508587977
2,5,0.5,0.8665548873190883,-0.19879854988313905
2,5,0.25,0.8638306882405218,0.07362135797350788
2,5,0.0,0.8580505631273296,0.6516338692927226
2,6,1.0,0.8645669018202569,0.0
2,6,0.75,0.8635169665650878,0.10499352551690544
2,6,0.5,0.8571120209447416,0.7454880875515268
2,6,0.25,0.839329647097791,2.523725472246585
2,6,0.0,0.8415662705429582,2.3000631277298678
2,7,1.0,0.8645669018202569,0.0
2,7,0.75,0.8486602761611322,1.5906625659124707
2,7,0.5,0.841078937330986,2.348796448927082
2,7,0.25,0.8465642674694399,1.8002634350816948
2,7,0.0,0.8315736413260639,3.2993260494192933
2,8,1.0,0.8645669018202569,0.0
2,8,0.75,0.866434991554572,-0.18680897343151814
2,8,0.5,0.866434991554572,-0.18680897343151814
2,8,0.25,0.8651742022574154,-0.06073004371585089
2,8,0.0,0.8529506015860295,1.1616300234227328
3,0,1.0,0.9171917142554475,0.0
3,0,0.75,0.9231209915239673,-0.5929277268519773
3,0,0.5,0.9144965123020016,0.2695201953445969
3,0,0.25,0.9116249021896212,0.5566812065826321
3,0,0.0,0.8881550077480894,2.9036706507358123
3,1,1.0,0.9171917142554475,0.0
3,1,0.75,0.9216485160737675,-0.44568018183199776
3,1,0.5,0.9166090562089477,0.05826580464998177
3,1,0.25,0.9195901910408514,-0.23984767854038358
3,1,0.0,0.9081680106192799,0.9023703636167668
3,2,1.0,0.9171917142554475,0.0
3,2,0.75,0.9138766763527613,0.331503790268628
3,2,0.5,0.9142273650724697,0.29643491829778323
3,2,0.25,0.9099409093511339,0.7250804904313624
3,2,0.0,0.9053598526264208,1.1831861629026719
3,3,1.0,0.9171917142554475,0.0
3,3,0.75,0.9059785854692509,1.1213128786196624
3,3,0.5,0.8878487830875111,2.9342931167936404
3,3,0.25,0.8507299889652831,6.6461725290164475
3,3,0.0,0.8095350208673562,10.765669338809136
3,4,1.0,0.9171917142554475,0.0
3,4,0.75,0.9166377072303196,0.05540070251279783
3,4,0.5,0.9074531094820576,0.9738604773389947
3,4,0.25,0.9131224935813883,0.40692206740592374
3,4,0.0,0.9143926119166279,0.2799102338819637
3,5,1.0,0.9171917142554475,0.0
3,5,0.75,0.9296363989317549,-1.2444684676307327
3,5,0.5,0.9258795997321981,-0.868788547675059
3,5,0.25,0.9227179774459998,-0.5526263190552272
3,5,0.0,0.9258402324918529,-0.8648518236405334
3,6,1.0,0.9171917142554475,0.0
3,6,0.75,0.9231209915239673,-0.5929277268519773
3,6,0.5,0.9231209915239673,-0.5929277268519773
3,6,0.25,0.9203376683856672,-0.3145954130219675
3,6,0.0,0.9166701995625354,0.05215146929121728
3,7,1.0,0.9171917142554475,0.0
3,7,0.75,0.9201648174780972,-0.29731032226496534
3,7,0.5,0.9147938705064796,0.23978437489678983
3,7,0.25,0.9074336290023232,0.9758085253124382
3,7,0.0,0.8927631201905126,2.4428594064934916
3,8,1.0,0.9171917142554475,0.0
3,8,0.75,0.9228150545059564,-0.5623340250508813
3,8,0.5,0.9253907741510897,-0.819905989564218
3,8,0.25,0.9258318753177809,-0.864016106233334
