source_file,window_ms,feat_set,model,subject,n_windows,acc,f1_macro,bal_acc
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,39,693,0.935064935064935,0.8599601063527931,0.8518217893217894
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,RF_balanced,40,648,0.9228395061728395,0.8488262599771923,0.8422297386247805
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,1,690,0.9347826086956522,0.9160403764812041,0.9186132570823682
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,2,520,0.9461538461538461,0.9220391577835398,0.929898344702005
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,3,594,0.9259259259259259,0.8782887996982569,0.8644138683707594
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,4,556,0.8705035971223022,0.8302702747131457,0.8554096384405262
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,5,708,0.847457627118644,0.8199073506499214,0.8374602404208665
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,6,583,0.823327615780446,0.768408180035557,0.7820153557427998
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,7,600,0.9316666666666666,0.911556369631578,0.9184402294543254
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,8,574,0.9024390243902439,0.8557547360794425,0.8600828435130761
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,9,591,0.9052453468697124,0.8746398025481548,0.8774221009959462
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,10,509,0.925343811394892,0.8818396284868295,0.8837741206162258
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,11,518,0.9305019305019305,0.9059991837464917,0.9162293313648238
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,12,507,0.9171597633136095,0.8796590629611412,0.8738136863136863
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,13,752,0.9454787234042553,0.911501905224922,0.9177574344894952
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,14,775,0.9148387096774193,0.8672505534109975,0.8734609553825374
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,15,610,0.9032786885245901,0.829228912859602,0.8407209050104161
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,16,681,0.9295154185022027,0.8870779843802893,0.8927385114885115
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,17,703,0.8975817923186344,0.8360006161486407,0.8389161651356772
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,18,640,0.90625,0.8497635561253757,0.8535300455358595
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,19,716,0.9064245810055865,0.8528802288435862,0.8567073053677352
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,20,599,0.8714524207011686,0.789481201547251,0.795765243210842
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,21,607,0.914332784184514,0.8642866074473745,0.8757586379781513
windows_WAK_UPS_DNS_STDUP_v1_w250_ov50_conf60_AorR_features_base,250,base,SVM_RBF_balanced_scaled,22,722,0.8767313019390581,0.8305520500545642,0.8393848295324445
