subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
13,RF,0.8798537935162141,0.8752692615962863,0.9308510638297872,0.8198306335963698,0.8156858774613501,0.8949468085106383,0.060023159919844304,0.059583384134936135,0.03590425531914887
14,RF,0.8316212625409477,0.829101791485551,0.8890322580645161,0.7151039692328178,0.7244380109489996,0.8270967741935484,0.11651729330812988,0.10466378053655134,0.0619354838709677
15,RF,0.8209095625648887,0.8238375963748039,0.8934426229508197,0.7169230990126512,0.7275932520837187,0.8295081967213115,0.1039864635522375,0.0962443442910852,0.06393442622950818
16,RF,0.8803947750003555,0.8702755577755578,0.919236417033774,0.8274899851876842,0.8086420523920523,0.8839941262848752,0.052904789812671216,0.06163350538350543,0.03524229074889884
17,RF,0.8350254244427551,0.8258226867982965,0.8947368421052632,0.7418135713974416,0.7328089254918523,0.8406827880512091,0.09321185304531343,0.09301376130644423,0.05405405405405406
18,RF,0.8624847528112822,0.8625678100968799,0.9109375,0.7672428207487914,0.7595220912808122,0.8546875,0.09524193206249087,0.10304571881606772,0.05624999999999991
19,RF,0.8169710366415649,0.8117612537144647,0.8743016759776536,0.7398205196354635,0.7364027888613999,0.8226256983240223,0.07715051700610143,0.07535846485306485,0.0516759776536313
20,RF,0.7768628419072097,0.7757353416408035,0.8747913188647746,0.6888198048192545,0.7039933391543919,0.8163606010016694,0.08804303708795513,0.0717420024864116,0.058430717863105164
21,RF,0.8250640739201986,0.8258767485572994,0.8962108731466227,0.7353950684232352,0.7377722129311723,0.8451400329489291,0.08966900549696344,0.08810453562612708,0.05107084019769359
22,RF,0.8270924963693004,0.8231210999858212,0.8767313019390581,0.6796865945850759,0.673643754678505,0.7867036011080333,0.14740590178422452,0.14947734530731616,0.09002770083102485
23,RF,0.880006149548949,0.8801718675505411,0.90625,0.7290606198132801,0.7484741801608705,0.7997159090909091,0.15094552973566888,0.13169768738967058,0.10653409090909094
24,RF,0.8805714320427578,0.8907918021800167,0.9310872894333844,0.7308889040153079,0.7630326755933686,0.8392036753445635,0.14968252802744986,0.12775912658664812,0.09188361408882084
25,RF,0.8268124392507554,0.8419497203549056,0.8993506493506493,0.696560892015101,0.7427100551802203,0.7435064935064936,0.13025154723565446,0.0992396651746853,0.15584415584415579
26,RF,0.8182768825342726,0.8184385047476818,0.8821292775665399,0.6820463112938842,0.6989946103555631,0.7782002534854245,0.1362305712403884,0.11944389439211867,0.10392902408111537
27,RF,0.8660500607781918,0.8612299758613123,0.9236311239193083,0.7717689026708487,0.76637590520079,0.8717579250720461,0.09428115810734305,0.09485407066052232,0.05187319884726227
28,RF,0.8443206663209741,0.8327464981348793,0.9014285714285716,0.7354245292418042,0.7230517569535193,0.8357142857142857,0.1088961370791699,0.10969474118136002,0.06571428571428584
29,RF,0.8018793923153057,0.7920403465142856,0.8777173913043478,0.7353123566026012,0.7264309382164171,0.8383152173913043,0.0665670357127045,0.06560940829786843,0.03940217391304346
30,RF,0.8654432815054126,0.8538018998545316,0.9235474006116208,0.6954600071736012,0.6999917375857226,0.8425076452599388,0.16998327433181137,0.15381016226880895,0.08103975535168195
31,RF,0.7410324703745386,0.7471085651936715,0.8443271767810027,0.6289474009175632,0.6454173486088379,0.7783641160949868,0.11208506945697538,0.1016912165848336,0.06596306068601587
32,RF,0.817954002269609,0.8146773146814892,0.8862973760932945,0.7595207950259852,0.7585234320515177,0.8440233236151603,0.058433207243623775,0.05615388262997145,0.042274052478134205
33,RF,0.9122604141936216,0.9156561662777634,0.9465317919075144,0.8009433980336332,0.7960016420361248,0.8815028901734104,0.11131701615998835,0.11965452424163858,0.06502890173410392
34,RF,0.8649135023581509,0.8674799746821806,0.9129746835443038,0.7892103918850752,0.7973953552574876,0.8670886075949367,0.07570311047307565,0.07008461942469302,0.04588607594936711
35,RF,0.7802067074738548,0.7841774080445383,0.8392018779342723,0.6689460392475081,0.690182334984885,0.7664319248826291,0.11126066822634673,0.09399507305965327,0.07276995305164313
36,RF,0.8277520770906126,0.8267804373522459,0.8869209809264306,0.7025865184783591,0.7205378250591017,0.8147138964577657,0.12516555861225354,0.10624261229314425,0.07220708446866486
37,RF,0.8842975654757151,0.8715988988244375,0.9323529411764706,0.812952474022901,0.8022980581587522,0.8955882352941177,0.07134509145281409,0.06930084066568531,0.03676470588235292
38,RF,0.8818568106811273,0.8724631870111456,0.932935916542474,0.7346218941336603,0.7221428529921086,0.8584202682563339,0.147234916547467,0.150320334019037,0.0745156482861401
39,RF,0.8599601063527931,0.8518217893217894,0.935064935064935,0.721654205873116,0.7219534632034631,0.8744588744588745,0.13830590047967706,0.12986832611832633,0.06060606060606055
40,RF,0.8488262599771923,0.8422297386247805,0.9228395061728396,0.7435841400115946,0.7411490951166578,0.8672839506172839,0.10524211996559774,0.10108064350812263,0.05555555555555569
1,SVM,0.916040376481204,0.9186132570823682,0.9347826086956522,0.5707287163538226,0.5555841348284978,0.6521739130434783,0.34531166012738135,0.3630291222538704,0.28260869565217395
2,SVM,0.9220391577835398,0.929898344702005,0.946153846153846,0.7174299353076767,0.7346708885281803,0.8134615384615385,0.2046092224758631,0.19522745617382475,0.13269230769230755
3,SVM,0.8782887996982569,0.8644138683707594,0.925925925925926,0.7900020681804211,0.7639487083940486,0.8703703703703703,0.08828673151783584,0.1004651599767108,0.05555555555555569
4,SVM,0.8302702747131457,0.8554096384405262,0.8705035971223022,0.6210204411719984,0.659900905355359,0.6924460431654677,0.20924983354114735,0.19550873308516725,0.17805755395683454
