buffer,k,variant,subject,f1,crit_err,n_scored
50,3,vote,35,0.776374207448033,0.1452513966480447,802
50,3,vote,36,0.7463354274331717,0.037037037037037035,684
50,3,vote,37,0.763009412205911,0.0,630
50,3,vote,38,0.9031168421570107,0.0,621
50,3,vote,39,0.8467585210892129,0.02666666666666667,643
50,3,vote,40,0.8130840040265234,0.04477611940298507,598
50,3,probavg,1,0.7370692365685415,0.009345794392523364,640
50,3,probavg,2,0.9137233734007928,0.0,470
50,3,probavg,3,0.9482704212412612,0.010101010101010102,544
50,3,probavg,4,0.9255439189163358,0.0,506
50,3,probavg,5,0.7835733392594245,0.028368794326241134,658
50,3,probavg,6,0.7918493959797572,0.024691358024691357,533
50,3,probavg,7,0.8591032469407809,0.0,550
50,3,probavg,8,0.9241489234188524,0.0136986301369863,524
50,3,probavg,9,0.8597557464470686,0.0,541
50,3,probavg,10,0.8258026938159388,0.0,459
50,3,probavg,11,0.9773000975418132,0.0,468
50,3,probavg,12,0.9528969472277828,0.0,457
50,3,probavg,13,0.9527734078356671,0.0,702
50,3,probavg,14,0.8747112064783816,0.025,725
50,3,probavg,15,0.9689261511053484,0.0,560
50,3,probavg,16,0.9260957535937768,0.0,631
50,3,probavg,17,0.9318391089585065,0.0,653
50,3,probavg,18,0.9358402959718416,0.0547945205479452,590
50,3,probavg,19,0.918537712846967,0.010638297872340425,666
50,3,probavg,20,0.8414798669767087,0.0,549
50,3,probavg,21,0.9222832763431071,0.0,557
50,3,probavg,22,0.8192378317940636,0.017857142857142856,672
50,3,probavg,23,0.9065126163542925,0.0,654
50,3,probavg,24,0.8683762970302178,0.0,603
50,3,probavg,25,0.9429861553730332,0.0,566
50,3,probavg,26,0.8499117457502682,0.047244094488188976,739
50,3,probavg,27,0.9454972713105584,0.0,644
50,3,probavg,28,0.8837915852327725,0.0,650
50,3,probavg,29,0.8530258166761162,0.0,686
50,3,probavg,30,0.9492493156579844,0.05063291139240506,604
50,3,probavg,31,0.7769127582687911,0.0125,708
50,3,probavg,32,0.9292637020102557,0.0,636
50,3,probavg,33,0.8911059390211037,0.0,642
50,3,probavg,34,0.9243244966739872,0.0,582
50,3,probavg,35,0.8123135911791136,0.0893854748603352,802
50,3,probavg,36,0.7578246753246753,0.037037037037037035,684
50,3,probavg,37,0.7641609413973829,0.0,630
50,3,probavg,38,0.9108912502406362,0.0,621
50,3,probavg,39,0.8612578682441765,0.0,643
50,3,probavg,40,0.8284848147465177,0.0,598
50,5,vote,1,0.7523563090537193,0.009345794392523364,640
50,5,vote,2,0.9502321479301317,0.0,470
50,5,vote,3,0.9594662831918754,0.0,544
50,5,vote,4,0.9390459019579899,0.0,506
50,5,vote,5,0.8365768667681237,0.03546099290780142,658
50,5,vote,6,0.8627978599564414,0.012345679012345678,533
50,5,vote,7,0.8848975547784205,0.0,550
50,5,vote,8,0.9659335062146481,0.0136986301369863,524
50,5,vote,9,0.8804953082214653,0.0,541
50,5,vote,10,0.7710468505961577,0.0,459
50,5,vote,11,0.9856064861424858,0.0,468
50,5,vote,12,0.9700349389582078,0.0,457
50,5,vote,13,0.9497078060296451,0.0,702
50,5,vote,14,0.8848851102342723,0.025,725
50,5,vote,15,0.9761132235458473,0.0,560
50,5,vote,16,0.9574762584097272,0.0,631
50,5,vote,17,0.9472659144933878,0.0,653
50,5,vote,18,0.9393396536087498,0.0684931506849315,590
50,5,vote,19,0.9283927707145471,0.0,666
50,5,vote,20,0.8814751316955498,0.0,549
50,5,vote,21,0.9634582637456202,0.0,557
50,5,vote,22,0.8471420155630682,0.008928571428571428,672
50,5,vote,23,0.9412241824965473,0.0,654
50,5,vote,24,0.9149191818546657,0.0,603
50,5,vote,25,0.9609791444425149,0.0,566
50,5,vote,26,0.8912279154818007,0.023622047244094488,739
50,5,vote,27,0.9603812324119854,0.0,644
50,5,vote,28,0.8877326951861113,0.0,650
50,5,vote,29,0.9089447187017845,0.0,686
50,5,vote,30,0.9748268304805106,0.02531645569620253,604
50,5,vote,31,0.7878617174474508,0.0125,708
50,5,vote,32,0.9261836020043757,0.0,636
50,5,vote,33,0.8937632099803152,0.0,642
50,5,vote,34,0.9380288903016175,0.0,582
50,5,vote,35,0.8231448251343917,0.11173184357541899,802
50,5,vote,36,0.7919718039665293,0.0,684
50,5,vote,37,0.7852672401384875,0.0,630
50,5,vote,38,0.9415642638457233,0.0,621
50,5,vote,39,0.8758649680831151,0.013333333333333334,643
50,5,vote,40,0.863021753474472,0.029850746268656716,598
50,5,probavg,1,0.8013066789715215,0.0,640
