buffer,k,variant,subject,f1,crit_err,n_scored
25,3,vote,22,0.8344726956534685,0.025,697
25,3,vote,23,0.7692369650305648,0.043478260869565216,679
25,3,vote,24,0.8040704097329268,0.013888888888888888,628
25,3,vote,25,0.9360986530041467,0.0,591
25,3,vote,26,0.7501337607933607,0.07518796992481203,764
25,3,vote,27,0.8944938244484496,0.0,669
25,3,vote,28,0.8561559276546863,0.02830188679245283,675
25,3,vote,29,0.729166293566607,0.01,711
25,3,vote,30,0.8778016841086066,0.08235294117647059,629
25,3,vote,31,0.77664375044306,0.011494252873563218,733
25,3,vote,32,0.8898596213572868,0.0,661
25,3,vote,33,0.8364726982970012,0.0,667
25,3,vote,34,0.8838721870494577,0.0,607
25,3,vote,35,0.7752999416943538,0.14594594594594595,827
25,3,vote,36,0.7990057942848917,0.056818181818181816,709
25,3,vote,37,0.71551625197544,0.0,655
25,3,vote,38,0.9337642016413957,0.0,646
25,3,vote,39,0.8145547625034655,0.024691358024691357,668
25,3,vote,40,0.6608226208227366,0.05405405405405406,623
25,3,probavg,1,0.6736279352514962,0.008771929824561403,665
25,3,probavg,2,0.9221608574701358,0.0,495
25,3,probavg,3,0.8879745153467781,0.009433962264150943,569
25,3,probavg,4,0.8665367722115229,0.0,531
25,3,probavg,5,0.7961286701688092,0.02702702702702703,683
25,3,probavg,6,0.8497681766727428,0.045454545454545456,558
25,3,probavg,7,0.7770907696735483,0.0,575
25,3,probavg,8,0.9131058507074367,0.0,549
25,3,probavg,9,0.8905635407419037,0.0,566
25,3,probavg,10,0.8058030669021381,0.0,484
25,3,probavg,11,0.9764657444005269,0.0,493
25,3,probavg,12,0.9460866724630181,0.013888888888888888,482
25,3,probavg,13,0.9393493056540475,0.0,727
25,3,probavg,14,0.8352249270426411,0.03125,750
25,3,probavg,15,0.9319985605336121,0.0,585
25,3,probavg,16,0.890858120766484,0.011764705882352941,656
25,3,probavg,17,0.84713826542912,0.0,678
25,3,probavg,18,0.8033824962958475,0.1125,615
25,3,probavg,19,0.9042680336938532,0.0891089108910891,691
25,3,probavg,20,0.7812227550588576,0.0,574
25,3,probavg,21,0.9070751222577846,0.0,582
25,3,probavg,22,0.8699125108863548,0.025,697
25,3,probavg,23,0.7880807050652379,0.021739130434782608,679
25,3,probavg,24,0.8328173810813794,0.0,628
25,3,probavg,25,0.9446387807461925,0.0,591
25,3,probavg,26,0.7884414790208207,0.06015037593984962,764
25,3,probavg,27,0.9245642217541039,0.0,669
25,3,probavg,28,0.8682931403519638,0.009433962264150943,675
25,3,probavg,29,0.7668019515512263,0.01,711
25,3,probavg,30,0.9316014903037544,0.03529411764705882,629
25,3,probavg,31,0.7903246648926435,0.0,733
25,3,probavg,32,0.9130201424938268,0.0,661
25,3,probavg,33,0.8618416496833432,0.0,667
25,3,probavg,34,0.8893232506879731,0.0,607
25,3,probavg,35,0.8070755372049068,0.0972972972972973,827
25,3,probavg,36,0.8131794737467106,0.022727272727272728,709
25,3,probavg,37,0.7231379666077733,0.0,655
25,3,probavg,38,0.9285645835331316,0.0,646
25,3,probavg,39,0.8350625086613446,0.012345679012345678,668
25,3,probavg,40,0.7130741818414735,0.0,623
25,5,vote,1,0.7000799042405546,0.043859649122807015,665
25,5,vote,2,0.926103240559474,0.0,495
25,5,vote,3,0.9045152480938577,0.0,569
25,5,vote,4,0.8930513812129744,0.0,531
25,5,vote,5,0.8387471530245496,0.033783783783783786,683
25,5,vote,6,0.886619544850892,0.03409090909090909,558
25,5,vote,7,0.8083727082850329,0.0,575
25,5,vote,8,0.9371944280045247,0.0125,549
25,5,vote,9,0.8991882603931953,0.0,566
25,5,vote,10,0.7769543618298942,0.0,484
25,5,vote,11,0.9866717205750224,0.0,493
25,5,vote,12,0.9611998205356592,0.0,482
25,5,vote,13,0.943288767299908,0.0,727
25,5,vote,14,0.8885599554147454,0.0234375,750
25,5,vote,15,0.9551165896039397,0.0,585
25,5,vote,16,0.9367485958304974,0.0,656
25,5,vote,17,0.8866841863171414,0.010101010101010102,678
25,5,vote,18,0.809938496780602,0.1,615
25,5,vote,19,0.9410502354882668,0.0297029702970297,691
25,5,vote,20,0.8440938142656778,0.0,574
25,5,vote,21,0.9475943932480079,0.0,582
25,5,vote,22,0.9155903174077862,0.008333333333333333,697
25,5,vote,23,0.8364326919275828,0.036231884057971016,679
25,5,vote,24,0.8642108201515455,0.0,628
25,5,vote,25,0.9679722976962728,0.0,591
25,5,vote,26,0.7785392313891921,0.045112781954887216,764
25,5,vote,27,0.9341469821685648,0.0,669
25,5,vote,28,0.9157045254857721,0.009433962264150943,675
25,5,vote,29,0.7894526954269819,0.0,711
25,5,vote,30,0.9388316009965565,0.047058823529411764,629
25,5,vote,31,0.8199543101838022,0.0,733
25,5,vote,32,0.9514128405067432,0.0,661
25,5,vote,33,0.8646379272055943,0.0,667
25,5,vote,34,0.9069469920345978,0.0,607
25,5,vote,35,0.8153916810746678,0.10810810810810811,827
25,5,vote,36,0.841606949343704,0.022727272727272728,709
25,5,vote,37,0.748509058585561,0.0,655
25,5,vote,38,0.9570280402891193,0.0,646
25,5,vote,39,0.8614409146384019,0.012345679012345678,668
25,5,vote,40,0.7123740842490842,0.013513513513513514,623
25,5,probavg,1,0.6978762916896791,0.0,665
25,5,probavg,2,0.95885463824251,0.0,495
25,5,probavg,3,0.9075808017866328,0.0,569
25,5,probavg,4,0.9144471549707468,0.0,531
25,5,probavg,5,0.8352537564906239,0.033783783783783786,683
25,5,probavg,6,0.8963678443757246,0.011363636363636364,558
25,5,probavg,7,0.8016123230836149,0.0,575
25,5,probavg,8,0.9745616780744827,0.0,549
25,5,probavg,9,0.926417070971046,0.0,566
25,5,probavg,10,0.849511814052999,0.0,484
25,5,probavg,11,0.993964738589309,0.0,493
25,5,probavg,12,0.9858618986525963,0.0,482
25,5,probavg,13,0.9648178679126036,0.0,727
25,5,probavg,14,0.9055418898462971,0.015625,750
25,5,probavg,15,0.9726217200131344,0.0,585
25,5,probavg,16,0.9425909182075093,0.0,656
25,5,probavg,17,0.8941557999585348,0.0,678
25,5,probavg,18,0.8267739716663712,0.0875,615
25,5,probavg,19,0.951320436894695,0.0594059405940594,691
25,5,probavg,20,0.8416895592296402,0.0,574
25,5,probavg,21,0.9742550814447044,0.0,582
25,5,probavg,22,0.9269072244516309,0.0,697
25,5,probavg,23,0.8226897047467736,0.0,679
25,5,probavg,24,0.8851628370788186,0.0,628
25,5,probavg,25,0.9663200677014321,0.0,591
25,5,probavg,26,0.8327483211562681,0.022556390977443608,764
25,5,probavg,27,0.9381543347678812,0.0,669
25,5,probavg,28,0.9380465623592851,0.0,675
