subject,arch,config,f1_macro,bal_acc
27,resnet_se,calib25,0.8222754054483349,0.7953423304805793
27,resnet_se,calib50,0.834457279802258,0.8087831906956331
27,resnet_se,calib100,0.8188818940843232,0.7898288347597103
27,resnet_se,running,0.5465684554725583,0.5425170068027211
28,resnet_se,calib25,0.6900767475861344,0.6558678212562024
28,resnet_se,calib50,0.6772584700351144,0.6461938572741446
28,resnet_se,calib100,0.7008561623221452,0.6753193589845026
28,resnet_se,running,0.4184734336410078,0.4258435800129665
29,resnet_se,calib25,0.5596984980301073,0.5332120309819728
29,resnet_se,calib50,0.68325471925983,0.6578074438917962
29,resnet_se,calib100,0.690136844195183,0.6672059401323978
29,resnet_se,running,0.5703393723562759,0.5581431551091576
30,resnet_se,calib25,0.7110131337061332,0.6644248608534323
30,resnet_se,calib50,0.7523035905563361,0.7103848532419961
30,resnet_se,calib100,0.761296938242121,0.7242578849721707
30,resnet_se,running,0.4813107405581758,0.4632153560724989
31,resnet_se,calib25,0.6093588540156478,0.5823965152755046
31,resnet_se,calib50,0.627521425720909,0.6048265297595722
31,resnet_se,calib100,0.6565426947223741,0.6491353381472689
31,resnet_se,running,0.5173324335490307,0.4856882069147015
32,resnet_se,calib25,0.6702338425430567,0.656531242879927
32,resnet_se,calib50,0.6245171906358317,0.6110090567327409
32,resnet_se,calib100,0.6468099949137467,0.6399129927090453
32,resnet_se,running,0.5532009042678013,0.5688035053600777
33,resnet_se,calib25,0.5978591850657663,0.605133523463832
33,resnet_se,calib50,0.7137677237075968,0.6972361939331087
33,resnet_se,calib100,0.76181043044789,0.738602108720076
33,resnet_se,running,0.5940994699502615,0.5913788782300579
34,resnet_se,calib25,0.671271386685573,0.6487508012820512
34,resnet_se,calib50,0.6992907608761267,0.6783473591359621
34,resnet_se,calib100,0.7478362294382642,0.7323357977806507
34,resnet_se,running,0.5466805151921353,0.5352556561085973
35,resnet_se,calib25,0.6066327270726413,0.6020770716226462
35,resnet_se,calib50,0.6274169314914319,0.6189873702838302
35,resnet_se,calib100,0.6320038792235629,0.623540422249656
35,resnet_se,running,0.46447667135917614,0.4895554132233755
36,resnet_se,calib25,0.5503142674451694,0.5314952864246701
36,resnet_se,calib50,0.5708051862304083,0.5473522531414131
36,resnet_se,calib100,0.5982569862264432,0.5802526595744681
36,resnet_se,running,0.5027107347243785,0.49539931465371667
37,resnet_se,calib25,0.6972051695103786,0.6615814848129278
37,resnet_se,calib50,0.7772485227338501,0.7401896529543647
37,resnet_se,calib100,0.7685765187477406,0.7455033385933296
37,resnet_se,running,0.44865746101742404,0.4252676165784295
38,resnet_se,calib25,0.6884394820730224,0.6534057099357298
38,resnet_se,calib50,0.69293443454457,0.6534035307927432
38,resnet_se,calib100,0.7284518122689121,0.683007188266332
38,resnet_se,running,0.563405611521094,0.5203624931720187
39,resnet_se,calib25,0.68295250990914,0.6586435786435786
39,resnet_se,calib50,0.6894464086860879,0.6800324675324676
39,resnet_se,calib100,0.7322601704183193,0.7143344155844156
39,resnet_se,running,0.6203652691861637,0.5980393217893217
40,resnet_se,calib25,0.6990638610577343,0.6734480141087703
40,resnet_se,calib50,0.6898587475495515,0.667579801439087
40,resnet_se,calib100,0.7163248844271046,0.6902749371856933
40,resnet_se,running,0.5351900369858219,0.5197398190045249
