backbone,arm,subject,channel,threshold,censored
resnet,noaug,27,3,,True
resnet,noaug,27,4,0.6303605199452273,False
resnet,noaug,27,5,0.9224858273890224,False
resnet,noaug,27,6,,True
resnet,noaug,27,7,0.6942020526989049,False
resnet,noaug,27,8,0.19678435072861472,False
resnet,noaug,28,0,0.04652995831392098,False
resnet,noaug,28,1,0.14054093794205702,False
resnet,noaug,28,2,0.41718771533049265,False
resnet,noaug,28,3,0.13444100754283272,False
resnet,noaug,28,4,0.6835716540842122,False
resnet,noaug,28,5,0.9448197318582703,False
resnet,noaug,28,6,,True
resnet,noaug,28,7,0.3942346395365064,False
resnet,noaug,28,8,0.08325025873803085,False
resnet,noaug,29,0,0.7423110042806241,False
resnet,noaug,29,1,0.6734373021852089,False
resnet,noaug,29,2,0.604599412843358,False
resnet,noaug,29,3,0.6386603516170487,False
resnet,noaug,29,4,0.7193077707310983,False
resnet,noaug,29,5,0.6541080346547912,False
resnet,noaug,29,6,,True
resnet,noaug,29,7,0.48315057591608185,False
resnet,noaug,29,8,0.8357883668869266,False
resnet,noaug,30,0,0.19421958362472952,False
resnet,noaug,30,1,0.8431051521120769,False
resnet,noaug,30,2,0.8500553561095155,False
resnet,noaug,30,3,0.3957954381689936,False
resnet,noaug,30,4,0.4180184315869554,False
resnet,noaug,30,5,0.4774116244916287,False
resnet,noaug,30,6,,True
resnet,noaug,30,7,0.40239050492126366,False
resnet,noaug,30,8,,True
resnet,noaug,31,0,0.7236752434564779,False
resnet,noaug,31,1,0.3902454009455421,False
resnet,noaug,31,2,0.6707546737563284,False
resnet,noaug,31,3,,True
resnet,noaug,31,4,0.45024201762264554,False
resnet,noaug,31,5,0.806505074893965,False
resnet,noaug,31,6,0.16102278919018737,False
resnet,noaug,31,7,0.5471529728208091,False
resnet,noaug,31,8,0.6758020539616909,False
resnet,noaug,32,0,0.2258366706298868,False
resnet,noaug,32,1,0.35410774895104624,False
resnet,noaug,32,2,0.19329064288327985,False
resnet,noaug,32,3,,True
resnet,noaug,32,4,0.723489810719479,False
resnet,noaug,32,5,0.6867311343896989,False
resnet,noaug,32,6,,True
resnet,noaug,32,7,0.46230486514436236,False
resnet,noaug,32,8,0.2481577766572581,False
resnet,noaug,33,0,0.43560550732596026,False
resnet,noaug,33,1,0.7317406627880193,False
resnet,noaug,33,2,0.8103425218925011,False
resnet,noaug,33,3,0.7067721566820537,False
resnet,noaug,33,4,0.46010974120744874,False
resnet,noaug,33,5,0.9624831779978426,False
resnet,noaug,33,6,0.34550957336854066,False
resnet,noaug,33,7,0.7084855337040776,False
resnet,noaug,33,8,0.29606940530112075,False
resnet,noaug,34,0,0.8347402170036888,False
resnet,noaug,34,1,0.844367064231109,False
resnet,noaug,34,2,0.4958868360955561,False
resnet,noaug,34,3,0.6263161014989935,False
resnet,noaug,34,4,0.928557904809372,False
resnet,noaug,34,5,0.7304055350611007,False
resnet,noaug,34,6,0.4504663493004266,False
resnet,noaug,34,7,0.6804297456836748,False
resnet,noaug,34,8,0.8601883663132484,False
resnet,noaug,35,0,0.7945676346291044,False
resnet,noaug,35,1,0.09692489868019466,False
resnet,noaug,35,2,,True
resnet,noaug,35,3,0.6410536082129296,False
resnet,noaug,35,4,0.7744606791091477,False
resnet,noaug,35,5,0.25782448780317346,False
resnet,noaug,35,6,,True
resnet,noaug,35,7,0.6899449884563263,False
resnet,noaug,35,8,0.7141281306871229,False
resnet,noaug,36,0,0.051945361518266786,False
resnet,noaug,36,1,0.34874165061324075,False
resnet,noaug,36,2,0.058430366682541424,False
resnet,noaug,36,3,0.11732680043187929,False
resnet,noaug,36,4,,True
resnet,noaug,36,5,,True
resnet,noaug,36,6,0.28916572307380284,False
resnet,noaug,36,7,0.5378102845371187,False
resnet,noaug,36,8,0.06727603207901259,False
resnet,noaug,37,0,0.7707441285384551,False
resnet,noaug,37,1,0.9042345664162565,False
resnet,noaug,37,2,0.6635496134471479,False
resnet,noaug,37,3,0.8731481580242839,False
resnet,noaug,37,4,0.21036293464425185,False
resnet,noaug,37,5,0.47785769967272,False
resnet,noaug,37,6,0.4679298839045881,False
resnet,noaug,37,7,0.8989084542497356,False
resnet,noaug,37,8,0.9384275777678647,False
resnet,noaug,38,0,0.8497566875542292,False
resnet,noaug,38,1,0.8943784345351707,False
resnet,noaug,38,2,0.8089753229076183,False
resnet,noaug,38,3,,True
resnet,noaug,38,4,0.6361995874163963,False
resnet,noaug,38,5,0.8903992891750467,False
resnet,noaug,38,6,0.7980517235805348,False
resnet,noaug,38,7,0.64872969455518,False
resnet,noaug,38,8,0.2058208176364692,False
resnet,noaug,39,0,0.9160903379215476,False
resnet,noaug,39,1,0.5228642752007039,False
resnet,noaug,39,2,0.8265891996900794,False
resnet,noaug,39,3,0.8155183873808353,False
resnet,noaug,39,4,0.7168290859172701,False
resnet,noaug,39,5,0.9236488850409118,False
resnet,noaug,39,6,,True
resnet,noaug,39,7,0.04170474303252586,False
resnet,noaug,39,8,,True
resnet,noaug,40,0,0.6994792093044757,False
resnet,noaug,40,1,0.6211718253950613,False
resnet,noaug,40,2,0.4560894487580248,False
resnet,noaug,40,3,0.4914656562775136,False
resnet,noaug,40,4,0.6407501733755958,False
resnet,noaug,40,5,0.5242643474214458,False
resnet,noaug,40,6,0.4479940211421424,False
resnet,noaug,40,7,0.8471473909561957,False
resnet,noaug,40,8,0.5935372418953884,False
resnet,chandrop,1,0,0.1724290178785778,False
resnet,chandrop,1,1,,True
resnet,chandrop,1,2,0.2897395621086616,False
resnet,chandrop,1,3,0.44183900864247205,False
resnet,chandrop,1,4,,True
resnet,chandrop,1,5,0.9188727024679035,False
resnet,chandrop,1,6,,True
resnet,chandrop,1,7,0.7144999796756175,False
resnet,chandrop,1,8,0.3517738881658238,False
resnet,chandrop,2,0,,True
resnet,chandrop,2,1,0.44931801510327884,False
resnet,chandrop,2,2,0.6431982715214098,False
resnet,chandrop,2,3,0.8163804709993647,False
resnet,chandrop,2,4,0.3697373987567346,False
resnet,chandrop,2,5,,True
resnet,chandrop,2,6,0.464218512860121,False
resnet,chandrop,2,7,0.8428327884508997,False
resnet,chandrop,2,8,0.033056958372562784,False
resnet,chandrop,3,0,0.20277793062493701,False
resnet,chandrop,3,1,,True
resnet,chandrop,3,2,0.09996938147177423,False
resnet,chandrop,3,3,0.7770470626291652,False
resnet,chandrop,3,4,,True
resnet,chandrop,3,5,,True
resnet,chandrop,3,6,,True
resnet,chandrop,3,7,0.24587753311799138,False
resnet,chandrop,3,8,,True
resnet,chandrop,4,0,0.49923377467308383,False
resnet,chandrop,4,1,0.8815540444787571,False
resnet,chandrop,4,2,,True
resnet,chandrop,4,3,,True
resnet,chandrop,4,4,,True
resnet,chandrop,4,5,0.8699426987360367,False
resnet,chandrop,4,6,,True
resnet,chandrop,4,7,0.6940603133521474,False
resnet,chandrop,4,8,,True
resnet,chandrop,5,0,,True
resnet,chandrop,5,1,,True
resnet,chandrop,5,2,,True
resnet,chandrop,5,3,,True
resnet,chandrop,5,4,0.6353041047559334,False
resnet,chandrop,5,5,0.5116500008796241,False
resnet,chandrop,5,6,,True
resnet,chandrop,5,7,,True
resnet,chandrop,5,8,0.10261328131285649,False
resnet,chandrop,6,0,,True
resnet,chandrop,6,1,0.8408556748405276,False
resnet,chandrop,6,2,,True
resnet,chandrop,6,3,,True
resnet,chandrop,6,4,0.7221153205820311,False
resnet,chandrop,6,5,0.7750146195759259,False
resnet,chandrop,6,6,0.2624485940556659,False
resnet,chandrop,6,7,0.798931302996192,False
resnet,chandrop,6,8,0.6601172732031089,False
resnet,chandrop,7,0,0.114693405969709,False
resnet,chandrop,7,1,0.7269438328969863,False
resnet,chandrop,7,2,0.6918008412758916,False
resnet,chandrop,7,3,,True
resnet,chandrop,7,4,0.04343722498470767,False
resnet,chandrop,7,5,,True
resnet,chandrop,7,6,0.8369355771586364,False
resnet,chandrop,7,7,0.48102304560345294,False
resnet,chandrop,7,8,,True
resnet,chandrop,8,0,,True
resnet,chandrop,8,1,,True
resnet,chandrop,8,2,,True
resnet,chandrop,8,3,,True
resnet,chandrop,8,4,0.82119043327568,False
resnet,chandrop,8,5,0.9024830392495313,False
resnet,chandrop,8,6,0.01169778972865218,False
resnet,chandrop,8,7,0.2372618927088705,False
resnet,chandrop,8,8,0.668576675187704,False
resnet,chandrop,9,0,0.16008531534522452,False
resnet,chandrop,9,1,0.5810654537890151,False
resnet,chandrop,9,2,0.15177999517578086,False
resnet,chandrop,9,3,,True
resnet,chandrop,9,4,,True
resnet,chandrop,9,5,,True
resnet,chandrop,9,6,0.8221813586758132,False
resnet,chandrop,9,7,0.45374572197124047,False
resnet,chandrop,9,8,0.5309955841000965,False
resnet,chandrop,10,0,0.7784836967202448,False
resnet,chandrop,10,1,,True
resnet,chandrop,10,2,0.2835011416211999,False
resnet,chandrop,10,3,,True
resnet,chandrop,10,4,0.46342928123309063,False
resnet,chandrop,10,5,,True
resnet,chandrop,10,6,,True
resnet,chandrop,10,7,,True
resnet,chandrop,10,8,,True
resnet,chandrop,11,0,,True
resnet,chandrop,11,1,0.2641826804219515,False
resnet,chandrop,11,2,0.6801953857047052,False
resnet,chandrop,11,3,0.5059979988196012,False
resnet,chandrop,11,4,0.6633312788746131,False
resnet,chandrop,11,5,0.86384095687353,False
resnet,chandrop,11,6,,True
resnet,chandrop,11,7,,True
resnet,chandrop,11,8,,True
resnet,chandrop,12,0,,True
resnet,chandrop,12,1,,True
resnet,chandrop,12,2,,True
resnet,chandrop,12,3,0.32513243994891317,False
resnet,chandrop,12,4,,True
resnet,chandrop,12,5,,True
resnet,chandrop,12,6,0.3260428999015407,False
resnet,chandrop,12,7,0.061235241851276906,False
resnet,chandrop,12,8,0.35337629610032406,False
resnet,chandrop,13,0,,True
resnet,chandrop,13,1,,True
resnet,chandrop,13,2,0.23626668361476674,False
resnet,chandrop,13,3,0.12737049196665387,False
resnet,chandrop,13,4,0.39923598377317165,False
resnet,chandrop,13,5,0.5501240647627199,False
resnet,chandrop,13,6,,True
resnet,chandrop,13,7,0.6133605688690695,False
resnet,chandrop,13,8,0.5710389677837399,False
resnet,chandrop,14,0,,True
resnet,chandrop,14,1,0.4166605868980826,False
resnet,chandrop,14,2,,True
resnet,chandrop,14,3,0.8187167170453862,False
resnet,chandrop,14,4,0.07828140807015352,False
resnet,chandrop,14,5,,True
resnet,chandrop,14,6,,True
resnet,chandrop,14,7,0.8211442479519531,False
resnet,chandrop,14,8,0.12785477341065032,False
resnet,chandrop,15,0,0.780214800276246,False
resnet,chandrop,15,1,0.5773454540392972,False
resnet,chandrop,15,2,0.8448078662724315,False
resnet,chandrop,15,3,0.8846662321528579,False
resnet,chandrop,15,4,0.4276204825468255,False
resnet,chandrop,15,5,0.6876765633092381,False
resnet,chandrop,15,6,0.6614727500015389,False
resnet,chandrop,15,7,0.9055650091647762,False
resnet,chandrop,15,8,0.23225313485814233,False
resnet,chandrop,16,0,,True
resnet,chandrop,16,1,,True
resnet,chandrop,16,2,0.3277412553026364,False
resnet,chandrop,16,3,,True
resnet,chandrop,16,4,0.7070425896130236,False
resnet,chandrop,16,5,0.9331362987762223,False
resnet,chandrop,16,6,,True
resnet,chandrop,16,7,0.558560073368554,False
resnet,chandrop,16,8,,True
resnet,chandrop,17,0,0.5155910088662026,False
resnet,chandrop,17,1,0.009884909192307695,False
resnet,chandrop,17,2,,True
resnet,chandrop,17,3,0.7162153087259973,False
resnet,chandrop,17,4,0.8388000717060117,False
resnet,chandrop,17,5,0.8263601036041464,False
resnet,chandrop,17,6,,True
resnet,chandrop,17,7,0.38254206903184834,False
resnet,chandrop,17,8,0.6825521350258263,False
resnet,chandrop,18,0,0.8664853090957019,False
