subject,arch,config,f1_macro,bal_acc
36,resnet_se,calib25,0.6106013411587399,0.5859655769253165
36,resnet_se,calib50,0.6608661070404459,0.6316759031198687
36,resnet_se,calib100,0.679706097960902,0.6533536549860834
36,resnet_se,running,0.3606559236125029,0.3710154421269608
37,resnet_se,calib25,0.6322058159428001,0.587368850239501
37,resnet_se,calib50,0.7071715262860544,0.6750540005540114
37,resnet_se,calib100,0.7495950128303068,0.7217189735433597
37,resnet_se,running,0.36991458628796653,0.35639470825694924
38,resnet_se,calib25,0.7314629597248936,0.7042037120974396
38,resnet_se,calib50,0.7486316935226692,0.7141574561556431
38,resnet_se,calib100,0.7646399270243416,0.7299954673825877
38,resnet_se,running,0.49473135560092085,0.4533903106586242
39,resnet_se,calib25,0.7420375427897301,0.7195797258297258
39,resnet_se,calib50,0.7649181696129371,0.7330014430014431
39,resnet_se,calib100,0.790698629690182,0.7581655844155843
39,resnet_se,running,0.48747302936645176,0.4389430014430014
40,resnet_se,calib25,0.7439962634670507,0.697869532428356
40,resnet_se,calib50,0.7805217778261836,0.753926282051282
40,resnet_se,calib100,0.7779346138589873,0.7451781674208144
40,resnet_se,running,0.46926768399552615,0.4465780542986425
