subject,channel,alpha,f1,drop_pp
4,3,0.5,0.7625190058201025,3.2478738756646752
4,3,0.25,0.7288551895503657,6.614255502638356
4,3,0.0,0.7215729381536568,7.342480642309246
4,4,1.0,0.7949977445767492,0.0
4,4,0.75,0.7604973151457262,3.450042943102305
4,4,0.5,0.7531736331081903,4.182411146855891
4,4,0.25,0.7204225584787551,7.457518609799408
4,4,0.0,0.6985330405110257,9.64647040657235
4,5,1.0,0.7949977445767492,0.0
4,5,0.75,0.7992627695479902,-0.4265024971241038
4,5,0.5,0.7943044922481098,0.0693252328639371
4,5,0.25,0.7521086203754328,4.288912420131641
4,5,0.0,0.7171608007245545,7.783694385219475
4,6,1.0,0.7949977445767492,0.0
4,6,0.75,0.798814152314935,-0.3816407738185812
4,6,0.5,0.7870952211322497,0.7902523444499487
4,6,0.25,0.7621197420394519,3.2878002537297335
4,6,0.0,0.7462043554241089,4.8793389152640305
4,7,1.0,0.7949977445767492,0.0
4,7,0.75,0.7982807906227883,-0.32830460460391286
4,7,0.5,0.7458318200574483,4.916592451930091
4,7,0.25,0.7093282475599219,8.566949701682736
4,7,0.0,0.6833002914781554,11.16974530985938
4,8,1.0,0.7949977445767492,0.0
4,8,0.75,0.7750136639922355,1.998408058451373
4,8,0.5,0.7627182763673048,3.2279468209444384
4,8,0.25,0.7477513178968996,4.724642667984957
4,8,0.0,0.692856444876262,10.214129970048724
5,0,1.0,0.5524977491551536,0.0
5,0,0.75,0.5386750836132895,1.3822665541864065
5,0,0.5,0.5484821394577062,0.40156096974474087
5,0,0.25,0.560356131823276,-0.7858382668122443
5,0,0.0,0.5473219719217222,0.5175777233431433
5,1,1.0,0.5524977491551536,0.0
5,1,0.75,0.5420620436565982,1.0435705498555436
5,1,0.5,0.5406916755676167,1.1806073587536936
5,1,0.25,0.5324129221145432,2.008482704061043
5,1,0.0,0.5083123254383788,4.41854237167748
5,2,1.0,0.5524977491551536,0.0
5,2,0.75,0.5449490151703569,0.7548733984796718
5,2,0.5,0.5449240856587731,0.7573663496380445
5,2,0.25,0.5275403622919392,2.495738686321436
5,2,0.0,0.4957739105211837,5.67238386339699
5,3,1.0,0.5524977491551536,0.0
5,3,0.75,0.5635685835685076,-1.1070834413353992
5,3,0.5,0.5870472993818271,-3.4549550226673498
5,3,0.25,0.5940711189678023,-4.157336981264869
5,3,0.0,0.5715486433554002,-1.9050894200246637
5,4,1.0,0.5524977491551536,0.0
5,4,0.75,0.5371343761539981,1.5363373001155534
5,4,0.5,0.5356521239474289,1.6845625207724702
5,4,0.25,0.5381185894972488,1.4379159657904816
5,4,0.0,0.5257723148508364,2.6725434304317175
5,5,1.0,0.5524977491551536,0.0
5,5,0.75,0.5411412534456893,1.1356495709464287
5,5,0.5,0.5155000200425116,3.6997729112641986
5,5,0.25,0.48452948214392044,6.796826701123315
5,5,0.0,0.47135954319079243,8.113820596436117
5,6,1.0,0.5524977491551536,0.0
5,6,0.75,0.5506870029351666,0.18107462199870028
5,6,0.5,0.5561046918123735,-0.3606942657219947
5,6,0.25,0.5654392316303254,-1.2941482475171795
5,6,0.0,0.5688976348396638,-1.639988568451023
5,7,1.0,0.5524977491551536,0.0
5,7,0.75,0.568657546908956,-1.6159797753802385
5,7,0.5,0.5466692518298435,0.58284973253101
5,7,0.25,0.513280757870756,3.9216991284397595
5,7,0.0,0.5016077568053969,5.088999234975667
5,8,1.0,0.5524977491551536,0.0
5,8,0.75,0.5468274622409176,0.5670286914235989
5,8,0.5,0.5296684549403923,2.282929421476132
5,8,0.25,0.4959965249784525,5.6501224176701115
5,8,0.0,0.4642266460637696,8.827110309138398
6,0,1.0,0.6755765017739466,0.0
6,0,0.75,0.6765089788174662,-0.09324770435196195
6,0,0.5,0.6627552030565848,1.2821298717361818
6,0,0.25,0.6386087586737079,3.696774310023865
6,0,0.0,0.5836324556774347,9.194404609651185
6,1,1.0,0.6755765017739466,0.0
6,1,0.75,0.6550307728725293,2.054572890141726
6,1,0.5,0.6649878173709862,1.0588684402960347
6,1,0.25,0.6252516074462647,5.032489432768184
6,1,0.0,0.5852501632457965,9.032633852815009
6,2,1.0,0.6755765017739466,0.0
6,2,0.75,0.6813691445310037,-0.5792642757057154
6,2,0.5,0.667407548617446,0.8168953156500569
6,2,0.25,0.6148031808886979,6.077332088524868
6,2,0.0,0.5256907439307102,14.988575784323633
6,3,1.0,0.6755765017739466,0.0
6,3,0.75,0.6841665202631146,-0.8590018489168072
6,3,0.5,0.6865313253305428,-1.0954823556596271
6,3,0.25,0.593079576487004,8.249692528694252
6,3,0.0,0.5650614277550429,11.05150740189037
6,4,1.0,0.6755765017739466,0.0
6,4,0.75,0.6708053499227582,0.4771151851188371
6,4,0.5,0.6484958326387307,2.7080669135215896
6,4,0.25,0.6116617035700881,6.3914798203858485
