subject,block,block_width,feature_channel,gate_mean,gate_sd
1,2,64,31,0.555972695350647,0.05405417084693909
1,2,64,32,0.534298837184906,0.026252388954162598
1,2,64,33,0.5685091614723206,0.033076249063014984
1,2,64,34,0.5776112675666809,0.090194933116436
1,2,64,35,0.4161927103996277,0.04417918622493744
1,2,64,36,0.5660057663917542,0.04374677687883377
1,2,64,37,0.5547508001327515,0.035511694848537445
1,2,64,38,0.44722214341163635,0.0460125207901001
1,2,64,39,0.5752695202827454,0.030684692785143852
1,2,64,40,0.5102781653404236,0.03342054784297943
1,2,64,41,0.4750809073448181,0.04883233830332756
1,2,64,42,0.6194238066673279,0.05551760643720627
1,2,64,43,0.4062296450138092,0.035388581454753876
1,2,64,44,0.5018896460533142,0.031934794038534164
1,2,64,45,0.6002491116523743,0.041583869606256485
1,2,64,46,0.5250051021575928,0.015966316685080528
1,2,64,47,0.5001369118690491,0.07028050720691681
1,2,64,48,0.5748882293701172,0.06915496289730072
1,2,64,49,0.46974822878837585,0.025052813813090324
1,2,64,50,0.46814805269241333,0.047909874469041824
1,2,64,51,0.4472585618495941,0.04156506434082985
1,2,64,52,0.454670786857605,0.02195926569402218
1,2,64,53,0.5706683397293091,0.039051808416843414
1,2,64,54,0.5690029263496399,0.03098088875412941
1,2,64,55,0.4633190333843231,0.03435329720377922
1,2,64,56,0.4482431709766388,0.04193796589970589
1,2,64,57,0.3464961051940918,0.058798898011446
1,2,64,58,0.48288875818252563,0.03080892749130726
1,2,64,59,0.5379485487937927,0.05730019509792328
1,2,64,60,0.5449227094650269,0.04650161787867546
1,2,64,61,0.4597558081150055,0.042678434401750565
1,2,64,62,0.5210692286491394,0.055277206003665924
1,2,64,63,0.5456885695457458,0.056461554020643234
1,3,64,0,0.5652632117271423,0.03872496262192726
1,3,64,1,0.5958321690559387,0.10651574283838272
1,3,64,2,0.6068689823150635,0.047567058354616165
1,3,64,3,0.56134432554245,0.046136703342199326
1,3,64,4,0.498154878616333,0.060472048819065094
1,3,64,5,0.4662076234817505,0.05184841528534889
1,3,64,6,0.5953492522239685,0.04269956052303314
1,3,64,7,0.560269832611084,0.06727448850870132
1,3,64,8,0.4444936513900757,0.051807742565870285
1,3,64,9,0.6371663212776184,0.08163487166166306
1,3,64,10,0.5038243532180786,0.10493868589401245
1,3,64,11,0.518560528755188,0.049031052738428116
1,3,64,12,0.41925662755966187,0.06722152978181839
1,3,64,13,0.6326975226402283,0.07190285623073578
1,3,64,14,0.5349296927452087,0.053891297429800034
1,3,64,15,0.5022307634353638,0.09444712102413177
1,3,64,16,0.46477997303009033,0.030995778739452362
1,3,64,17,0.5712627172470093,0.08683358877897263
1,3,64,18,0.6142873764038086,0.058558739721775055
1,3,64,19,0.4696187376976013,0.0462149903178215
1,3,64,20,0.5436438918113708,0.042422376573085785
1,3,64,21,0.5175318121910095,0.08889304101467133
1,3,64,22,0.5040439367294312,0.031711041927337646
1,3,64,23,0.47946104407310486,0.04753827303647995
1,3,64,24,0.6046383380889893,0.06603659689426422
1,3,64,25,0.47492486238479614,0.07508683949708939
1,3,64,26,0.42050233483314514,0.0830312967300415
1,3,64,27,0.6026039719581604,0.0482635460793972
1,3,64,28,0.5369073152542114,0.07760757207870483
1,3,64,29,0.5121049284934998,0.06865399330854416
1,3,64,30,0.45899152755737305,0.06659839302301407
1,3,64,31,0.5588523149490356,0.09253690391778946
1,3,64,32,0.5687148571014404,0.07750139385461807
1,3,64,33,0.5496005415916443,0.0659518763422966
1,3,64,34,0.4786504805088043,0.03513086214661598
1,3,64,35,0.554070234298706,0.03557214513421059
1,3,64,36,0.4988710582256317,0.06002092733979225
1,3,64,37,0.5209017992019653,0.06329169869422913
1,3,64,38,0.39893949031829834,0.07406499236822128
1,3,64,39,0.542938768863678,0.04177211970090866
1,3,64,40,0.4919455647468567,0.05706849694252014
1,3,64,41,0.4139900505542755,0.038500603288412094
1,3,64,42,0.5267689824104309,0.03786487877368927
1,3,64,43,0.522060751914978,0.11004046350717545
1,3,64,44,0.44369038939476013,0.08686066418886185
1,3,64,45,0.474090039730072,0.03662704676389694
1,3,64,46,0.4903651475906372,0.08666694164276123
1,3,64,47,0.49105551838874817,0.07382655143737793
1,3,64,48,0.535554826259613,0.03289191797375679
1,3,64,49,0.4730708599090576,0.05187244713306427
1,3,64,50,0.5484325289726257,0.06872835755348206
1,3,64,51,0.4796588718891144,0.0780300721526146
1,3,64,52,0.4046642482280731,0.041715189814567566
1,3,64,53,0.44965502619743347,0.06881698220968246
