SVM+RF+CNN [hard],SVM+RF+CNN [soft],SVM+RF+CNN [weighted_soft],SVM+RF+CNN [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RF+CNN+RESNET_SE [hard],SVM+RF+CNN+RESNET_SE [soft],SVM+RF+CNN+RESNET_SE [weighted_soft],SVM+RF+CNN+RESNET_SE [stacking],SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.8813869404292217,0.9075908335927659,0.9075908335927659,0.9077359978097865,0.9161489856541316,0.9495169504482472,0.9584916926055428,0.9373623638888331,0.9062422031961972,0.9405464092014182,0.9437943526080672,0.9441165876502358,0.858444922684521,0.8696081810717343,0.8696081810717343,0.8783935143891162,0.9281574458359605,0.9548947732415882,0.9519107361596001,0.9392645328817402,0.9281574458359605,0.9503148400311935,0.9473900054318306,0.9418366338313047
0.8600032124816108,0.8857666802274287,0.884176099016764,0.8694977734868967,0.8832689639638825,0.9090307502243403,0.9146034775889892,0.9478495415292569,0.9014054655764031,0.9140384720199133,0.9198159215074541,0.949214931585395,0.8166930173542191,0.8313580293209556,0.8313580293209556,0.816660454293616,0.9232760841577027,0.9351051136742895,0.9402540540772522,0.9470005666331793,0.9232760841577027,0.9468331860768933,0.9406611360484192,0.9498538011695907
0.9072090305204054,0.9171261088904831,0.9164430668780535,0.9131964729990892,0.9173740098762156,0.9452999874489438,0.9499219441224412,0.9600801427654999,0.9186333521758074,0.9449177050571392,0.948761253478638,0.9602795548075986,0.9000335687796831,0.9068601506996293,0.9068601506996293,0.8999137675451275,0.9320032384807375,0.9583683370697426,0.9582292429962729,0.9553171523816235,0.9320032384807375,0.9453933298950585,0.9453933298950585,0.952669855944127
0.8023987178532632,0.8040668927905656,0.8040668927905656,0.8115029206810656,0.8231158774177267,0.8438422563049354,0.8430061786720199,0.8516577454483836,0.8040171240910157,0.8344818900654968,0.8355882222010821,0.8536416398580275,0.8077138410107172,0.8030244362150355,0.8030244362150355,0.8003636445332677,0.8259557959068353,0.8573501326924315,0.8599835193322557,0.8520896046558297,0.8259557959068353,0.8420135008431724,0.8468765261919131,0.8442401142130922
0.8310987194230436,0.8643160375430852,0.86432016431197,0.8706240387140338,0.8593919215633525,0.9137034020645204,0.9152386942371012,0.8918755698904478,0.8586560952665673,0.9151275693036739,0.9112287253398103,0.8996379146552697,0.8426218181543597,0.8294718970678874,0.8294718970678874,0.8188624846124719,0.8945577520305781,0.9252173325096358,0.9179834226980629,0.8959594248256487,0.8945577520305781,0.9084948419313744,0.9084948419313744,0.8938852705454675
0.852772072156531,0.8596720468653896,0.8596720468653896,0.8562202865410949,0.8676832985511813,0.886193937622856,0.8824486652725515,0.8860730864374031,0.8666805102627273,0.8820578264929281,0.8845664139781787,0.8846569443576445,0.8388107682115974,0.836985877334129,0.836985877334129,0.8372542254503016,0.8602969372160483,0.8853344499371106,0.8863166147457427,0.8858407843954931,0.8602969372160483,0.8760843060433192,0.8737085669748209,0.8815852633349827
0.8055889938646441,0.8209554833007735,0.8186226839442535,0.8209292001768257,0.8331056374030544,0.8741970695996122,0.8760752834115793,0.8762305761391831,0.839421421782792,0.8833321246111944,0.8834309142290233,0.8779510690493126,0.8042652517120371,0.8036813716384259,0.8036813716384259,0.7929562312164701,0.8740116833659312,0.8937732347864469,0.8937091246089548,0.8839037066994385,0.8740116833659312,0.8850078554146449,0.8803310057565039,0.8787051097720554
0.8112375726658445,0.7849206223231544,0.7849206223231544,0.7779297856780313,0.8446811493908444,0.893263375043036,0.9062971834083009,0.9226016324596941,0.8314354385785645,0.8691066495615932,0.8719418409684798,0.919413546381139,0.8234392881774706,0.8098892821322284,0.8098892821322284,0.7944478141692607,0.9057980852113593,0.9281328162994125,0.9309571245213939,0.9243791351313785,0.9057980852113593,0.911465705251483,0.9145708084305346,0.9047490419416648
0.8177063362497355,0.8273966386854564,0.8247309421760209,0.8328719936455067,0.8235062299917211,0.8353435881734066,0.8394900043667675,0.8605362184663393,0.8413646599379965,0.8542238436153735,0.8587043622409676,0.8619361059565015,0.7582753072081415,0.7732461629565595,0.7732461629565595,0.7756777731052318,0.8452531284759923,0.8562258626306614,0.8540613604661593,0.8638526081562377,0.8452531284759923,0.8473890205308784,0.8525113894733071,0.8547343543329315
0.7170922672670718,0.7542781085110741,0.7456255897603583,0.7542015580942154,0.7394610423483663,0.7788731837491967,0.7788731837491967,0.8220937006601249,0.7425365291244013,0.7945282200175705,0.7968414232820529,0.8272043326639121,0.6926349754468984,0.7178511303511304,0.7178511303511304,0.7274103898362487,0.8409122093625153,0.8027626069716814,0.818008688935989,0.818210518450428,0.8409122093625153,0.8506904919518375,0.8481161469303194,0.8443046971108348
