subject,model,mode,f1_incl,f1_excl,buf_n
9,SVM_PROBA,single_WAK,0.400982,0.344889,87
9,RESNET_SE,single_WAK,0.562259,0.406539,87
9,soft,single_WAK,0.514823,0.419433,87
10,SVM,single_WAK,0.631617,0.560358,56
10,SVM_PROBA,single_WAK,0.612726,0.748778,56
10,RESNET_SE,single_WAK,0.720781,0.626851,56
10,soft,single_WAK,0.71775,0.842205,56
11,SVM,single_WAK,0.689626,0.581925,85
11,SVM_PROBA,single_WAK,0.671721,0.57948,85
11,RESNET_SE,single_WAK,0.715369,0.505586,85
11,soft,single_WAK,0.82067,0.866672,85
12,SVM,single_WAK,0.557457,0.442361,56
12,SVM_PROBA,single_WAK,0.538781,0.448704,56
12,RESNET_SE,single_WAK,0.612588,0.444286,56
12,soft,single_WAK,0.697784,0.535209,56
13,SVM,single_WAK,0.696881,0.586991,89
13,SVM_PROBA,single_WAK,0.657355,0.561643,89
13,RESNET_SE,single_WAK,0.685827,0.521855,89
13,soft,single_WAK,0.752285,0.613702,89
14,SVM,single_WAK,0.625886,0.513355,72
14,SVM_PROBA,single_WAK,0.573808,0.651973,72
14,RESNET_SE,single_WAK,0.680016,0.504329,72
14,soft,single_WAK,0.725842,0.548724,72
15,SVM,single_WAK,0.578677,0.536341,60
15,SVM_PROBA,single_WAK,0.542244,0.52456,60
15,RESNET_SE,single_WAK,0.732826,0.657426,60
15,soft,single_WAK,0.68728,0.860434,60
16,SVM,single_WAK,0.658693,0.547795,90
16,SVM_PROBA,single_WAK,0.639413,0.732779,90
16,RESNET_SE,single_WAK,0.744993,0.602515,90
16,soft,single_WAK,0.73805,0.825391,90
17,SVM,single_WAK,0.5626,0.486625,90
17,SVM_PROBA,single_WAK,0.526325,0.48117,90
17,RESNET_SE,single_WAK,0.653241,0.525562,90
17,soft,single_WAK,0.625552,0.518286,90
18,SVM,single_WAK,0.613852,0.517735,80
18,SVM_PROBA,single_WAK,0.571213,0.497546,80
18,RESNET_SE,single_WAK,0.81715,0.666503,80
18,soft,single_WAK,0.762592,0.638332,80
19,SVM,single_WAK,0.603384,0.480028,86
19,SVM_PROBA,single_WAK,0.598971,0.514504,86
19,RESNET_SE,single_WAK,0.73211,0.571887,86
19,soft,single_WAK,0.728398,0.58043,86
20,SVM,single_WAK,0.559697,0.51907,70
20,SVM_PROBA,single_WAK,0.540973,0.515454,70
20,RESNET_SE,single_WAK,0.661353,0.607574,70
20,soft,single_WAK,0.622798,0.60694,70
21,SVM,single_WAK,0.592056,0.467814,65
21,SVM_PROBA,single_WAK,0.585748,0.466622,65
21,RESNET_SE,single_WAK,0.748941,0.616792,65
21,soft,single_WAK,0.677847,0.54871,65
22,SVM,single_WAK,0.494333,0.38925,89
22,SVM_PROBA,single_WAK,0.465117,0.376966,89
22,RESNET_SE,single_WAK,0.608413,0.44767,89
22,soft,single_WAK,0.570575,0.444866,89
23,SVM,single_WAK,0.56764,0.494076,93
23,SVM_PROBA,single_WAK,0.534558,0.482283,93
23,RESNET_SE,single_WAK,0.509102,0.380841,93
23,soft,single_WAK,0.6164,0.517333,93
24,SVM,single_WAK,0.368587,0.224403,69
24,SVM_PROBA,single_WAK,0.397033,0.300021,69
24,RESNET_SE,single_WAK,0.531043,0.358656,69
24,soft,single_WAK,0.500883,0.381393,69
25,SVM,single_WAK,0.658116,0.51188,60
25,SVM_PROBA,single_WAK,0.633872,0.495961,60
25,RESNET_SE,single_WAK,0.730272,0.555086,60
25,soft,single_WAK,0.722337,0.552644,60
26,SVM,single_WAK,0.57737,0.464956,83
26,SVM_PROBA,single_WAK,0.562334,0.477589,83
26,RESNET_SE,single_WAK,0.646046,0.495469,83
26,soft,single_WAK,0.632057,0.504542,83
27,SVM,single_WAK,0.667063,0.808651,93
27,SVM_PROBA,single_WAK,0.662562,0.801289,93
27,RESNET_SE,single_WAK,0.59791,0.440974,93
27,soft,single_WAK,0.739839,0.622668,93
28,SVM,single_WAK,0.470431,0.417826,88
28,SVM_PROBA,single_WAK,0.509072,0.478738,88
28,RESNET_SE,single_WAK,0.553841,0.514575,88
28,soft,single_WAK,0.606861,0.538141,88
29,SVM,single_WAK,0.58608,0.525487,87
29,SVM_PROBA,single_WAK,0.54552,0.518401,87
29,RESNET_SE,single_WAK,0.72255,0.652396,87
29,soft,single_WAK,0.68562,0.633518,87
30,SVM,single_WAK,0.392676,0.284005,66
30,SVM_PROBA,single_WAK,0.592155,0.490787,66
30,RESNET_SE,single_WAK,0.782123,0.613549,66
30,soft,single_WAK,0.755486,0.606628,66
31,SVM,single_WAK,0.560994,0.466189,78
31,SVM_PROBA,single_WAK,0.539994,0.453278,78
31,RESNET_SE,single_WAK,0.520336,0.397838,78
31,soft,single_WAK,0.625826,0.528487,78
32,SVM,single_WAK,0.587131,0.534712,66
32,SVM_PROBA,single_WAK,0.528856,0.493095,66
32,RESNET_SE,single_WAK,0.435303,0.321271,66
32,soft,single_WAK,0.636448,0.551323,66
33,SVM,single_WAK,0.498215,0.37175,75
33,SVM_PROBA,single_WAK,0.496628,0.384065,75
33,RESNET_SE,single_WAK,0.683814,0.556872,75
33,soft,single_WAK,0.679284,0.567571,75
34,SVM,single_WAK,0.619487,0.494175,64
34,SVM_PROBA,single_WAK,0.582176,0.468645,64
34,RESNET_SE,single_WAK,0.668465,0.505982,64
34,soft,single_WAK,0.645363,0.496557,64
35,SVM,single_WAK,0.642373,0.525382,93
35,SVM_PROBA,single_WAK,0.598932,0.50528,93
35,RESNET_SE,single_WAK,0.632307,0.549631,93
35,soft,single_WAK,0.64565,0.545379,93
36,SVM,single_WAK,0.575439,0.489087,90
36,SVM_PROBA,single_WAK,0.524303,0.460782,90
36,RESNET_SE,single_WAK,0.349033,0.229901,90
36,soft,single_WAK,0.38365,0.26467,90
37,SVM,single_WAK,0.517787,0.446618,79
37,SVM_PROBA,single_WAK,0.546493,0.664089,79
37,RESNET_SE,single_WAK,0.373147,0.257118,79
37,soft,single_WAK,0.37646,0.275467,79
38,SVM,single_WAK,0.612568,0.49767,58
38,SVM_PROBA,single_WAK,0.557312,0.627556,58
38,RESNET_SE,single_WAK,0.598431,0.405299,58
38,soft,single_WAK,0.705301,0.721653,58
39,SVM,single_WAK,0.507628,0.449804,56
39,SVM_PROBA,single_WAK,0.539123,0.488223,56
39,RESNET_SE,single_WAK,0.725049,0.563759,56
39,soft,single_WAK,0.667807,0.554223,56
40,SVM,single_WAK,0.604694,0.481359,65
40,SVM_PROBA,single_WAK,0.55852,0.441046,65
40,RESNET_SE,single_WAK,0.728519,0.632678,65
40,soft,single_WAK,0.703091,0.613189,65
1,SVM,single_UPS,0.448604,0.446624,100
1,SVM_PROBA,single_UPS,0.426998,0.430441,100
1,RESNET_SE,single_UPS,0.543566,0.538729,100
1,soft,single_UPS,0.560572,0.562649,100
2,SVM,single_UPS,0.416124,0.357393,89
2,SVM_PROBA,single_UPS,0.410839,0.323752,89
