subject,model,acc,bal_acc,f1,train_time_s,latency_ms
11,RF,0.944015444015444,0.9259178032806584,0.9210807111551198,,
12,RF,0.8500986193293886,0.7495941558441559,0.7851471793340074,,
13,RF,0.9308510638297872,0.8752692615962863,0.8798537935162141,,
14,RF,0.8890322580645161,0.829101791485551,0.8316212625409477,,
15,RF,0.8934426229508197,0.8238375963748039,0.8209095625648887,,
16,RF,0.919236417033774,0.8702755577755578,0.8803947750003555,,
17,RF,0.8947368421052632,0.8258226867982965,0.8350254244427551,,
18,RF,0.9109375,0.8625678100968799,0.8624847528112822,,
19,RF,0.8743016759776536,0.8117612537144647,0.8169710366415649,,
20,RF,0.8747913188647746,0.7757353416408035,0.7768628419072097,,
21,RF,0.8962108731466227,0.8258767485572994,0.8250640739201986,,
22,RF,0.8767313019390581,0.8231210999858212,0.8270924963693004,,
23,RF,0.90625,0.8801718675505411,0.880006149548949,,
24,RF,0.9310872894333844,0.8907918021800167,0.8805714320427578,,
25,RF,0.8993506493506493,0.8419497203549056,0.8268124392507554,,
26,RF,0.8821292775665399,0.8184385047476818,0.8182768825342726,,
27,RF,0.9236311239193083,0.8612299758613123,0.8660500607781918,,
28,RF,0.9014285714285716,0.8327464981348793,0.8443206663209741,,
29,RF,0.8777173913043478,0.7920403465142856,0.8018793923153057,,
30,RF,0.9235474006116208,0.8538018998545316,0.8654432815054126,,
31,RF,0.8443271767810027,0.7471085651936715,0.7410324703745386,,
32,RF,0.8862973760932945,0.8146773146814892,0.817954002269609,,
33,RF,0.9465317919075144,0.9156561662777634,0.9122604141936216,,
34,RF,0.9129746835443038,0.8674799746821806,0.8649135023581509,,
35,RF,0.8392018779342723,0.7841774080445383,0.7802067074738548,,
36,RF,0.8869209809264306,0.8267804373522459,0.8277520770906126,,
37,RF,0.9323529411764706,0.8715988988244375,0.8842975654757151,,
38,RF,0.932935916542474,0.8724631870111456,0.8818568106811273,,
39,RF,0.935064935064935,0.8518217893217894,0.8599601063527931,,
40,RF,0.9228395061728396,0.8422297386247805,0.8488262599771923,,
1,SVM,0.9347826086956522,0.9186132570823682,0.916040376481204,,
2,SVM,0.946153846153846,0.929898344702005,0.9220391577835398,,
3,SVM,0.925925925925926,0.8644138683707594,0.8782887996982569,,
4,SVM,0.8705035971223022,0.8554096384405262,0.8302702747131457,,
5,SVM,0.847457627118644,0.8374602404208665,0.8199073506499214,,
6,SVM,0.823327615780446,0.7820153557427998,0.768408180035557,,
7,SVM,0.9316666666666666,0.9184402294543254,0.911556369631578,,
8,SVM,0.902439024390244,0.8600828435130761,0.8557547360794425,,
9,SVM,0.9052453468697124,0.8774221009959462,0.8746398025481548,,
10,SVM,0.925343811394892,0.8837741206162258,0.8818396284868295,,
11,SVM,0.9305019305019304,0.9162293313648238,0.9059991837464916,,
12,SVM,0.9171597633136096,0.8738136863136863,0.8796590629611412,,
13,SVM,0.9454787234042552,0.9177574344894952,0.911501905224922,,
14,SVM,0.9148387096774192,0.8734609553825374,0.8672505534109975,,
15,SVM,0.90327868852459,0.8407209050104161,0.829228912859602,,
16,SVM,0.9295154185022028,0.8927385114885115,0.8870779843802893,,
17,SVM,0.8975817923186344,0.8389161651356772,0.8360006161486407,,
18,SVM,0.90625,0.8535300455358595,0.8497635561253757,,
19,SVM,0.9064245810055864,0.8567073053677352,0.8528802288435862,,
20,SVM,0.8714524207011686,0.795765243210842,0.789481201547251,,
