subject,model,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
15,SVM,0.864724039503387,0.834115365692586,0.030608673810801,0.8676640060327561,0.8563732418028159,0.0112907642299401
16,SVM,0.8736532680205273,0.8171264214191113,0.056526846601416,0.8777694527694527,0.8449585137085138,0.0328109390609389
17,SVM,0.8510740474438381,0.8099535441017278,0.0411205033421102,0.8521460247070003,0.8103816914792525,0.0417643332277477
18,SVM,0.8744552616424704,0.8119286933746366,0.0625265682678338,0.8815493372906162,0.8258821846757893,0.0556671526148269
19,SVM,0.8703108073696308,0.7493323266051085,0.1209784807645223,0.8736223601549917,0.7673968570517483,0.1062255031032434
20,SVM,0.8323780539585216,0.721121202384184,0.1112568515743376,0.8278867149332965,0.7457574810952884,0.082129233838008
21,SVM,0.8907517435352093,0.7627346519666744,0.1280170915685348,0.8992169162089941,0.779032497545951,0.120184418663043
22,SVM,0.8669564728989239,0.7409953852292037,0.1259610876697201,0.8691519269231236,0.7520429668667642,0.1171089600563594
23,SVM,0.8930720213426667,0.6963617112667909,0.1967103100758758,0.8941744341795346,0.6912363015992978,0.2029381325802367
24,SVM,0.9112443663424872,0.7011497642333242,0.2100946021091629,0.9140339206791148,0.7278892310238867,0.1861446896552281
25,SVM,0.8400981789654243,0.7520582218447945,0.0880399571206297,0.8506155202871393,0.7847903004991367,0.0658252197880026
26,SVM,0.8564735488815135,0.7276029762323566,0.1288705726491569,0.8579398474392237,0.7550797033432197,0.1028601440960039
27,SVM,0.9121252954444188,0.8471334964401774,0.0649917990042413,0.909501062423396,0.8466518944320451,0.0628491679913508
28,SVM,0.8727891695448073,0.802751648625109,0.0700375209196983,0.872172123640792,0.805626601604082,0.06654552203671
29,SVM,0.8784803772260356,0.8037798587399274,0.0747005184861081,0.8773141943278782,0.8008691114618671,0.076445082866011
30,SVM,0.8870169882906251,0.8040059719751332,0.0830110163154919,0.8857489628166321,0.8123890520507061,0.0733599107659259
31,SVM,0.7922618450948943,0.7340918274538094,0.0581700176410848,0.8014027118246851,0.7546827216023911,0.046719990222294
32,SVM,0.873456008294301,0.7357707426793634,0.1376852656149376,0.8726782598802035,0.7478261188562083,0.1248521410239952
33,SVM,0.912036928105054,0.8382067895501709,0.073830138554883,0.916038155734163,0.8410774781782041,0.0749606775559589
34,SVM,0.8839375422029842,0.8423175942747149,0.0416199479282692,0.8936127046972635,0.8650314452704159,0.0285812594268476
35,SVM,0.8258239895605346,0.7309437258400238,0.0948802637205108,0.8269563787389096,0.7612654991214933,0.0656908796174162
36,SVM,0.8869234253065775,0.7040875634942992,0.1828358618122783,0.8877408465220278,0.733996407318124,0.1537444392039038
